,pdbid,binding_affinity
283,1iup,2.54
284,1il3,2.55
285,1kf0,2.55
286,3b3s,2.55
287,3ovn,2.55
288,1gwv,2.57
289,2ria,2.57
290,2wq4,2.57
291,3kgp,2.57
292,2ay5,2.59
293,2jst,2.59
294,3gvb,2.59
295,4o3a,2.59
296,4o3c,2.59
297,4wef,2.59
298,1o4p,2.60
299,2c4v,2.60
300,2r5a,2.60
301,3gwv,2.60
302,3rxf,2.60
303,4up5,2.60
304,1cze,2.62
305,1w1y,2.62
306,2kfh,2.62
307,3f37,2.62
308,3f38,2.62
309,3fk1,2.62
310,3rxl,2.62
311,4lnf,2.62
312,4lno,2.62
313,1ajn,2.63
314,1g5f,2.64
315,1o4i,2.64
316,3p1d,2.64
317,4i8x,2.64
318,4q7w,2.64
319,4q8y,2.64
320,4ufl,2.64
321,1il5,2.66
322,3a1e,2.66
323,3rxb,2.66
324,4y2p,2.66
325,3lvw,2.67
326,1hgi,2.68
327,1o8b,2.68
328,2q72,2.68
329,3rxk,2.68
330,4b3c,2.68
331,4b3d,2.68
332,3elc,2.69
333,4usw,2.69
334,1br5,2.70
335,1gym,2.70
336,1lt5,2.70
337,1tc1,2.70
338,1ylv,2.70
339,2fzc,2.70
340,2ha4,2.70
341,2krd,2.70
342,2ohk,2.70
343,2ow6,2.70
344,2uyn,2.70
345,3bra,2.70
346,3ftz,2.70
347,3fud,2.70
348,3fuf,2.70
349,3fuh,2.70
350,3gk2,2.70
351,3gsg,2.70
352,3hvg,2.70
353,3rqw,2.70
354,3sl0,2.70
355,3zsw,2.70
356,3zsz,2.70
357,3zt1,2.70
358,4h4b,2.70
359,4okp,2.70
360,4old,2.70
361,4wks,2.70
362,4ypf,2.70
363,4yrc,2.70
364,4yrg,2.70
365,4yrr,2.70
366,5aok,2.70
367,4kpz,2.71
368,1pfu,2.72
369,2rkd,2.72
370,3p4r,2.72
371,1dg9,2.74
372,2qwb,2.74
373,2vyt,2.74
374,4m6u,2.74
375,4ndu,2.74
376,1rql,2.75
377,1ny2,2.76
378,4bt5,2.76
379,2bet,2.77
380,2p3o,2.77
381,3fcq,2.77
382,3l0n,2.77
383,4a4h,2.77
384,4g5y,2.77
385,4kz3,2.77
386,4urv,2.77
387,4ykk,2.77
388,2yiv,2.78
389,3ftw,2.78
390,4yrt,2.78
391,2bge,2.80
392,2bza,2.80
393,3zt4,2.80
394,4kz8,2.80
395,4urw,2.80
396,4yw2,2.80
397,3djx,2.81
398,4eh4,2.81
399,4oyt,2.81
400,4rrg,2.81
401,1czc,2.82
402,1p17,2.82
403,2a3a,2.82
404,2rib,2.82
405,2w6z,2.82
406,2xj0,2.82
407,2yc0,2.82
408,3fue,2.82
409,3lka,2.82
410,3ppr,2.82
411,4dsu,2.82
412,4k7i,2.82
413,4pb1,2.82
414,4z46,2.82
415,4yz5,2.83
416,3fu3,2.84
417,3moh,2.84
418,3zt2,2.84
419,4cgj,2.84
420,1il4,2.85
421,2a29,2.85
422,2ork,2.85
423,3atk,2.85
424,3k3g,2.85
425,3rxa,2.85
426,3udh,2.85
427,4luv,2.85
428,4mlt,2.85
429,4x47,2.85
430,4ym2,2.85
431,3qx8,2.86
432,3zt3,2.86
433,4ouj,2.86
434,4pd5,2.86
435,4fgz,2.87
436,1e34,2.88
437,2woq,2.88
438,4a4f,2.88
439,4ucv,2.88
440,1cet,2.89
441,1iih,2.89
442,1ugp,2.89
443,2k2r,2.89
444,2wpb,2.89
445,2wtx,2.89
446,3f36,2.89
447,3g31,2.89
448,4b35,2.89
449,4cd8,2.89
450,4gqq,2.89
451,4kzb,2.89
452,4llx,2.89
453,4u5u,2.89
454,4urx,2.89
455,5aes,2.89
456,3c2u,2.90
457,5aom,2.90
458,1ms0,2.91
459,2ay4,2.91
460,2pri,2.91
461,4kc1,2.91
462,1eef,2.92
463,1h2k,2.92
464,1o4k,2.92
465,1p6e,2.92
466,1zp5,2.92
467,2aa9,2.92
468,2aay,2.92
469,2fkf,2.92
470,2fw6,2.92
471,2fwp,2.92
472,2kfg,2.92
473,3alt,2.92
474,3iaf,2.92
475,3k8c,2.92
476,4ai5,2.92
477,4ef6,2.92
478,4lm3,2.92
479,4u4s,2.92
480,4x14,2.92
481,4y2q,2.92
482,5c0k,2.92
483,5ct2,2.92
484,1tng,2.93
485,3ftv,2.93
486,1p6d,2.94
487,2vmc,2.94
488,4y62,2.95
489,1f4e,2.96
490,1w1t,2.96
491,1ykp,2.96
492,2br6,2.96
493,2kdh,2.96
494,2w8j,2.96
495,3dhv,2.96
496,3g34,2.96
497,3imc,2.96
498,3img,2.96
499,4bgy,2.96
500,4dst,2.96
501,4k3l,2.96
502,4mrg,2.96
503,4owm,2.96
504,2hw2,2.97
505,4ceb,2.97
506,2rnw,2.98
507,3ckb,2.98
508,3djq,2.98
509,4ibc,2.98
510,5aba,2.98
511,3ump,2.99
512,4a4g,2.99
513,4bps,2.99
514,1ecq,3.00
515,1hqg,3.00
516,1mcz,3.00
517,1ux7,3.00
518,1w7h,3.00
519,1wbg,3.00
520,1wbo,3.00
521,1ws4,3.00
522,1yc5,3.00
523,1z9h,3.00
524,1zm7,3.00
525,2f1b,3.00
526,2h2e,3.00
527,2q8h,3.00
528,2r0y,3.00
529,2rka,3.00
530,2v3u,3.00
531,2vin,3.00
532,2vtm,3.00
533,2wa3,3.00
534,2xgm,3.00
535,2xgo,3.00
536,2xp3,3.00
537,2ych,3.00
538,3ap7,3.00
539,3d9o,3.00
540,3eka,3.00
541,3grj,3.00
542,3ime,3.00
543,3nf8,3.00
544,3nk8,3.00
545,3ob0,3.00
546,4b2i,3.00
547,4fe9,3.00
548,4k0o,3.00
549,4k5z,3.00
550,4k64,3.00
551,4k72,3.00
552,4l51,3.00
553,4l5j,3.00
554,4lkh,3.00
555,4llk,3.00
556,4m5r,3.00
557,4o7d,3.00
558,4oyp,3.00
559,4oz2,3.00
560,4r3w,3.00
561,4txs,3.00
562,4u0w,3.00
563,4wh9,3.00
564,5a5o,3.00
565,5c7b,3.00
566,1g42,3.01
567,1utm,3.01
568,4g0p,3.01
569,2vmd,3.02
570,3dc2,3.02
571,3fuk,3.02
572,4q81,3.02
573,4xm8,3.02
574,1ogd,3.03
575,1ws5,3.03
576,2ggu,3.03
577,2ha3,3.03
578,3adv,3.03
579,3esj,3.03
580,4lm2,3.03
581,4qp2,3.03
582,5aoi,3.03
583,1rtf,3.04
584,2pcu,3.04
585,3ay0,3.04
586,3t08,3.04
587,3t1m,3.04
588,3zvv,3.04
589,4i7k,3.04
590,4lm4,3.04
591,1f74,3.05
592,1gvk,3.05
593,1gzg,3.05
594,1o41,3.05
595,1pum,3.05
596,1uj5,3.05
597,1uj6,3.05
598,2ohl,3.05
599,2vcw,3.05
600,4g5f,3.05
601,4guj,3.05
602,4u5v,3.05
603,5abe,3.05
604,2jfh,3.06
605,2ksa,3.06
606,3atm,3.06
607,3hw1,3.06
608,3rxi,3.06
609,3rxj,3.06
610,4csy,3.06
611,4nyi,3.06
612,1rnm,3.07
613,1s26,3.07
614,3mof,3.07
615,4yrs,3.07
616,1hiy,3.08
617,1y1z,3.08
618,4yv1,3.08
619,1mdl,3.09
620,1ugw,3.09
621,4eh5,3.09
622,1a5v,3.10
623,1af2,3.10
624,1ec9,3.10
625,1pu7,3.10
626,1pu8,3.10
627,1swi,3.10
628,2xdl,3.10
629,3buf,3.10
630,3f78,3.10
631,3mo8,3.10
632,4cjr,3.10
633,4j79,3.10
634,4kz6,3.10
635,4pxf,3.10
636,4y2j,3.10
637,4y64,3.10
638,1k2i,3.11
639,1uod,3.11
640,2ay6,3.11
641,2lto,3.11
642,2lwi,3.11
643,3c2r,3.11
644,3msj,3.11
645,4aj1,3.11
646,4ajk,3.11
647,4d52,3.11
648,4gbz,3.11
649,4wf4,3.11
650,1h9l,3.12
651,2ksb,3.12
652,4bt3,3.12
653,4cgi,3.12
654,4uct,3.12
655,1ax0,3.13
656,3kac,3.13
657,5c5t,3.13
658,2f1a,3.14
659,2ya7,3.14
660,3odk,3.14
661,4b34,3.14
662,1e6q,3.15
663,1eei,3.15
664,1k9q,3.15
665,1noi,3.15
666,1noj,3.15
667,1nok,3.15
668,1rin,3.15
669,2fr8,3.15
670,2p8n,3.15
671,3cgy,3.15
672,3e73,3.15
673,4de5,3.15
674,4fzj,3.15
675,4lw1,3.15
676,4x0z,3.15
677,2ymd,3.16
678,3ad8,3.16
679,3ecn,3.16
680,3f34,3.16
681,3f35,3.16
682,3kpu,3.16
683,3lk0,3.16
684,4eh2,3.16
685,4hnc,3.17
686,4uce,3.17
687,4x3i,3.17
688,1b9s,3.18
689,1lbk,3.18
690,1ro7,3.18
691,2wik,3.18
692,3at1,3.18
693,3bug,3.18
694,3kid,3.18
695,1o6i,3.19
696,2zdx,3.19
697,3dxh,3.19
698,3g1v,3.19
699,4gzx,3.19
700,4mlx,3.19
701,1axz,3.20
702,2w0x,3.20
703,2wij,3.20
704,3kab,3.20
705,4elc,3.20
706,4nrm,3.20
707,5d9p,3.20
708,1s5z,3.21
709,3fty,3.21
710,6tim,3.21
711,1br6,3.22
712,1e6s,3.22
713,1e72,3.22
714,1evh,3.22
715,1ew9,3.22
716,1k1y,3.22
717,1q5l,3.22
718,1qwu,3.22
719,1tog,3.22
720,1x6u,3.22
721,1zc9,3.22
722,2bv4,3.22
723,2ri9,3.22
724,2uy3,3.22
725,3aru,3.22
726,3i8t,3.22
727,4n5d,3.22
728,4tyl,3.22
729,1px4,3.23
730,2gmk,3.23
731,3zsy,3.23
732,4kc4,3.23
733,4lm1,3.23
734,4unp,3.23
735,1gx4,3.24
736,2r8q,3.24
737,3qfz,3.24
738,4b2l,3.24
739,4k60,3.24
740,4luo,3.24
741,4qlk,3.24
742,4y2u,3.24
743,1v2j,3.25
744,3ta1,3.25
745,4lm0,3.25
746,1l5s,3.26
747,3t1l,3.26
748,4egh,3.26
749,4k66,3.26
750,4wkt,3.26
751,5yas,3.26
752,1axr,3.27
753,3ioe,3.27
754,4jbl,3.27
755,1bcu,3.28
756,1g9t,3.28
757,1x07,3.28
758,2xgs,3.28
759,3d52,3.28
760,3ms4,3.28
761,3tfu,3.28
762,3zsx,3.28
763,4eh7,3.28
764,4fl1,3.28
765,4yv0,3.28
766,1ax1,3.29
767,4f20,3.29
768,1d7j,3.30
769,1k9r,3.30
770,1lt6,3.30
771,1o4e,3.30
772,1phw,3.30
773,1tpw,3.30
774,1zd2,3.30
775,1zd3,3.30
776,2aq7,3.30
777,2aqb,3.30
778,2hd1,3.30
779,2uxx,3.30
780,2vw2,3.30
781,2w0s,3.30
782,2xml,3.30
783,3aaq,3.30
784,3avg,3.30
785,3avh,3.30
786,3avi,3.30
787,3avj,3.30
788,3avk,3.30
789,3avm,3.30
790,3avn,3.30
791,3ch9,3.30
792,3gv6,3.30
793,3h2c,3.30
794,3hcm,3.30
795,3i90,3.30
796,3i91,3.30
797,3l7g,3.30
798,3n1v,3.30
799,3n1w,3.30
800,3n3l,3.30
801,3n45,3.30
802,4b6f,3.30
803,4ddh,3.30
804,4gj8,3.30
805,4gj9,3.30
806,4jss,3.30
807,4mrw,3.30
808,4msa,3.30
809,4np3,3.30
810,4ojq,3.30
811,4oue,3.30
812,4tz8,3.30
813,4u6e,3.30
814,4ucr,3.30
815,4x13,3.30
816,1i2s,3.31
817,1pzp,3.31
818,3msc,3.31
819,4kc2,3.31
820,5c7a,3.31
821,1pzo,3.32
822,2wk6,3.32
823,4a4e,3.32
824,4cjp,3.32
825,4i7j,3.32
826,188l,3.33
827,1jlr,3.33
828,2a3b,3.33
829,2pnc,3.33
830,4ab9,3.33
831,4b0b,3.33
832,4b5t,3.33
833,4b5w,3.33
834,4k2y,3.33
835,4pd9,3.33
836,2xoi,3.34
837,3f33,3.34
838,3ry8,3.34
839,4b32,3.34
840,4bt4,3.34
841,4cp5,3.34
842,4gwk,3.34
843,4yuy,3.34
844,2qcm,3.35
845,3c2o,3.35
846,3pwk,3.35
847,3zxe,3.35
848,4gnf,3.35
849,4joh,3.35
850,4lkq,3.35
851,4ucu,3.35
852,4wet,3.35
853,1ahy,3.36
854,2ha7,3.36
855,2pvv,3.36
856,2vc7,3.36
857,3av9,3.36
858,3zzh,3.36
859,4cj4,3.36
860,4wyp,3.36
861,187l,3.37
862,1tnh,3.37
863,1v2u,3.37
864,1v2v,3.37
865,2c6g,3.37
866,3d8z,3.37
867,3n35,3.37
868,4b33,3.37
869,4mrd,3.37
870,1z34,3.38
871,2fzg,3.38
872,3a73,3.38
873,3tay,3.38
874,3w07,3.38
875,4qll,3.38
876,1toj,3.39
877,2j9h,3.39
878,3mrx,3.39
879,4ipn,3.39
880,4lhm,3.39
881,4ms0,3.39
882,1bxr,3.40
883,1f8d,3.40
884,1hxk,3.40
885,1ikt,3.40
886,1il9,3.40
887,1jt1,3.40
888,1l83,3.40
889,1m83,3.40
890,1uz4,3.40
891,1way,3.40
892,220l,3.40
893,223l,3.40
894,2jbu,3.40
895,2jqk,3.40
896,2q8i,3.40
897,2qcd,3.40
898,2rnx,3.40
899,2vvp,3.40
900,3d8y,3.40
901,3jzh,3.40
902,3k26,3.40
903,4abe,3.40
904,5afl,3.40
905,2v2c,3.41
906,3nba,3.41
907,4yas,3.41
908,1hyz,3.42
909,2qtn,3.42
910,2sim,3.42
911,2w08,3.42
912,3iob,3.42
913,3kqp,3.42
914,3muk,3.42
915,3px9,3.42
916,4c71,3.42
917,4d8a,3.42
918,4llj,3.42
919,4mi9,3.42
920,4n8q,3.42
921,1kti,3.43
922,1ywi,3.43
923,2c57,3.43
924,2wig,3.43
925,2xog,3.43
926,3axz,3.43
927,3ms7,3.43
928,4k67,3.43
929,4kw6,3.43
930,2xp5,3.44
931,3as2,3.44
932,4b4n,3.44
933,4umc,3.44
934,3nik,3.45
935,4c6z,3.45
936,1moq,3.46
937,1t48,3.46
938,1wcc,3.46
939,2wi2,3.46
940,2wi3,3.46
941,2zfi,3.46
942,3blu,3.46
943,3dla,3.46
944,3muz,3.46
945,3nil,3.46
946,3nuy,3.46
947,4bhf,3.46
948,4gby,3.46
949,4k5p,3.46
950,4nrq,3.46
951,4qp6,3.46
952,4tz2,3.46
953,3mtd,3.47
954,3nf7,3.47
955,3ta0,3.47
956,4d2d,3.47
957,4epy,3.47
958,4h42,3.47
959,5ai4,3.47
960,1osv,3.48
961,1tsi,3.48
962,2c90,3.48
963,2f10,3.48
964,2p3i,3.48
965,3d9m,3.48
966,3g1d,3.48
967,3gx0,3.48
968,3nyd,3.48
969,4k7n,3.48
970,1c5o,3.49
971,1gzc,3.49
972,1pzj,3.49
973,1utn,3.49
974,2ggx,3.49
975,2qcf,3.49
976,3d1v,3.49
977,4avs,3.49
978,4b5s,3.49
979,4nyj,3.49
980,5ak6,3.49
981,3fcl,3.50
982,4i7p,3.50
983,4n3w,3.50
984,4wey,3.50
985,1gz9,3.51
986,2ohm,3.51
987,2r0h,3.51
988,3nus,3.51
989,4lpf,3.51
990,5cp9,3.51
991,1imx,3.52
992,1jys,3.52
993,1o4d,3.52
994,1o4f,3.52
995,1ysg,3.52
996,2fyv,3.52
997,2j27,3.52
998,2vw1,3.52
999,3c14,3.52
1000,3lcu,3.52
1001,3mfw,3.52
1002,3qw6,3.52
1003,3tf7,3.52
1004,3zlv,3.52
1005,3zly,3.52
1006,4c70,3.52
1007,4eky,3.52
1008,4g93,3.52
1009,4hv7,3.52
1010,4mrz,3.52
1011,4oyo,3.52
1012,2b4m,3.53
1013,2y67,3.53
1014,3avf,3.53
1015,3h06,3.53
1016,3nf6,3.53
1017,4eh3,3.53
1018,4nmr,3.53
1019,4orx,3.53
1020,4ory,3.53
1021,185l,3.54
1022,1vjd,3.54
1023,2jbv,3.54
1024,2o9v,3.54
1025,3blt,3.54
1026,3bm8,3.54
1027,3nf9,3.54
1028,3obq,3.54
1029,4gng,3.54
1030,1v2r,3.55
1031,2ay3,3.55
1032,2cle,3.55
1033,2clf,3.55
1034,2clm,3.55
1035,2hwg,3.55
1036,2qwc,3.55
1037,2xah,3.55
1038,3pjg,3.55
1039,3qvu,3.55
1040,4aji,3.55
1041,4k3m,3.55
1042,4mjr,3.55
1043,4n98,3.55
1044,4nym,3.55
1045,5av0,3.55
1046,5btx,3.55
1047,2hrm,3.56
1048,2lsp,3.56
1049,2ycm,3.56
1050,4joe,3.56
1051,1h46,3.57
1052,1jwm,3.57
1053,1np0,3.57
1054,2l1r,3.57
1055,2rly,3.57
1056,3ej5,3.57
1057,3ff3,3.57
1058,4abg,3.57
1059,4ck3,3.57
1060,4ibb,3.57
1061,4q8x,3.57
1062,4xm7,3.57
1063,5a7b,3.57
1064,1vjc,3.58
1065,3dx1,3.58
1066,4g19,3.58
1067,4y63,3.58
1068,1gww,3.59
1069,1nli,3.59
1070,2gsu,3.59
1071,2nn8,3.59
1072,2pgj,3.59
1073,2pgl,3.59
1074,3sl1,3.59
1075,4cd6,3.59
1076,4cjq,3.59
1077,4k3r,3.59
1078,4q7v,3.59
1079,1bo5,3.60
1080,1d1p,3.60
1081,1d7i,3.60
1082,1qw7,3.60
1083,1uys,3.60
1084,1w31,3.60
1085,1zd4,3.60
1086,2bgr,3.60
1087,2fzk,3.60
1088,2oq6,3.60
1089,2q6h,3.60
1090,2qch,3.60
1091,2qpu,3.60
1092,2wp1,3.60
1093,2xdk,3.60
1094,2y68,3.60
1095,3afk,3.60
1096,3b3x,3.60
1097,3bb1,3.60
1098,3g0i,3.60
1099,3jdw,3.60
1100,3kn0,3.60
1101,3m3o,3.60
1102,3pke,3.60
1103,3t2p,3.60
1104,4b3b,3.60
1105,4c1y,3.60
1106,4meo,3.60
1107,4meq,3.60
1108,8gpb,3.60
1109,1g9s,3.61
1110,2kff,3.61
1111,2l98,3.61
1112,2vfz,3.61
1113,3ftu,3.61
1114,3jzj,3.61
1115,3sk2,3.61
1116,4a4c,3.61
1117,4ln2,3.61
1118,4qp1,3.61
1119,5c91,3.61
1120,1pb9,3.62
1121,3pcc,3.62
1122,3st6,3.62
1123,3udj,3.62
1124,4bkt,3.62
1125,4fxj,3.62
1126,4nrc,3.62
1127,4rrf,3.62
1128,4wy3,3.62
1129,4yym,3.62
1130,3fuj,3.63
1131,3jpx,3.63
1132,3rxm,3.63
1133,4mm7,3.63
1134,5dqe,3.63
1135,1gyy,3.64
1136,1j5i,3.64
1137,2azr,3.64
1138,2pem,3.64
1139,2qwg,3.64
1140,2rk8,3.64
1141,3px8,3.64
1142,4bdi,3.64
1143,4gui,3.64
1144,4iuo,3.64
1145,1b9v,3.65
1146,3vws,3.65
1147,4agl,3.65
1148,4y4v,3.65
1149,1l6y,3.66
1150,2qv7,3.66
1151,2rny,3.66
1152,2v00,3.66
1153,3buh,3.66
1154,3ex6,3.66
1155,3iny,3.66
1156,3oy8,3.66
1157,3pcn,3.66
1158,3t2q,3.66
1159,3tsd,3.66
1160,4aia,3.66
1161,4fl2,3.66
1162,2bve,3.67
1163,3fts,3.67
1164,3h2m,3.67
1165,3h2n,3.67
1166,4cig,3.67
1167,4ibd,3.67
1168,4lnp,3.67
1169,4mww,3.67
1170,4n99,3.67
1171,1c3x,3.68
1172,1qsc,3.68
1173,2x6x,3.68
1174,2za3,3.68
1175,3ioc,3.68
1176,3isj,3.68
1177,3uwl,3.68
1178,4aje,3.68
1179,4io7,3.68
1180,4isu,3.68
1181,4mx1,3.68
1182,4oru,3.68
1183,1l2z,3.69
1184,2a8g,3.69
1185,3clp,3.69
1186,3d7b,3.69
1187,4gwi,3.69
1188,4ovg,3.69
1189,4tte,3.69
1190,5ai0,3.69
1191,1bcj,3.70
1192,1e37,3.70
1193,1fwu,3.70
1194,1gz3,3.70
1195,1gz4,3.70
1196,1h0r,3.70
1197,1i43,3.70
1198,1loq,3.70
1199,1pdz,3.70
1200,1uy6,3.70
1201,1uy7,3.70
1202,1uyd,3.70
1203,1uye,3.70
1204,1w70,3.70
1205,1wht,3.70
1206,2bjm,3.70
1207,2bmz,3.70
1208,2bvr,3.70
1209,2fx6,3.70
1210,3ex2,3.70
1211,3ful,3.70
1212,3kd7,3.70
1213,3l59,3.70
1214,3mrt,3.70
1215,3n7a,3.70
1216,3zlw,3.70
1217,4ayt,3.70
1218,4ayx,3.70
1219,4b2d,3.70
1220,4kza,3.70
1221,4l7h,3.70
1222,4l7j,3.70
1223,4o4k,3.70
1224,4pji,3.70
1225,5c6o,3.70
1226,5c6p,3.70
1227,2vfk,3.71
1228,3fj7,3.71
1229,3g32,3.71
1230,3wkc,3.71
1231,4k5m,3.71
1232,4mjq,3.71
1233,1ai5,3.72
1234,1fwv,3.72
1235,1grp,3.72
1236,1ugy,3.72
1237,2am4,3.72
1238,2h9p,3.72
1239,2r23,3.72
1240,2yde,3.72
1241,3f5l,3.72
1242,3ms2,3.72
1243,3q6z,3.72
1244,4jog,3.72
1245,4tk1,3.72
1246,4tk2,3.72
1247,4tln,3.72
1248,4ufm,3.72
1249,1b2m,3.73
1250,2adj,3.73
1251,2vta,3.73
1252,3ati,3.73
1253,3fjg,3.73
1254,3h91,3.73
1255,3rxd,3.73
1256,4fz3,3.73
1257,4y5s,3.73
1258,1f5k,3.74
1259,1ihy,3.74
1260,1oh4,3.74
1261,2dwx,3.74
1262,2wq5,3.74
1263,2xp4,3.74
1264,3kpv,3.74
1265,3mrv,3.74
1266,3v30,3.74
1267,4bv2,3.74
1268,4pre,3.74
1269,4yux,3.74
1270,2iyf,3.75
1271,2pyi,3.75
1272,3d6p,3.75
1273,3gep,3.75
1274,4kov,3.75
1275,2x09,3.76
1276,3d6q,3.76
1277,4c6x,3.76
1278,4tu4,3.76
1279,4w52,3.76
1280,1kui,3.77
1281,1mpl,3.77
