,pdbid,binding_affinity
408,2a8g,3.69
409,3d7b,3.69
410,4ovg,3.69
411,4tte,3.69
412,1gz4,3.70
413,1loq,3.70
414,1pdz,3.70
415,1wht,3.70
416,2bvr,3.70
417,2fx6,3.70
418,3l59,3.70
419,3n7a,3.70
420,2vfk,3.71
421,3fj7,3.71
422,3g32,3.71
423,1ai5,3.72
424,1grp,3.72
425,2am4,3.72
426,2r23,3.72
427,3f5l,3.72
428,3q6z,3.72
429,4tln,3.72
430,4ufm,3.72
431,3fjg,3.73
432,4fz3,3.73
433,1f5k,3.74
434,2wq5,3.74
435,2pyi,3.75
436,3d6p,3.75
437,2x09,3.76
438,3d6q,3.76
439,4tu4,3.76
440,4w52,3.76
441,1kui,3.77
442,2v2h,3.77
443,2y9g,3.77
444,3ao2,3.77
445,4q46,3.77
446,3nq3,3.78
447,2clk,3.79
448,1kug,3.80
449,1li6,3.80
450,1nje,3.80
451,2hb1,3.80
452,3t09,3.80
453,4ajl,3.80
454,2hu6,3.81
455,3ai8,3.81
456,1hn4,3.82
457,3g2h,3.82
458,4aba,3.82
459,4bks,3.82
460,4keq,3.82
461,4mmm,3.82
462,1j16,3.84
463,1utj,3.84
464,3lzz,3.84
465,2wzs,3.85
466,2yb0,3.85
467,3mv0,3.85
468,3wq5,3.85
469,4kiu,3.85
470,3lbz,3.86
471,3spf,3.86
472,4i9u,3.86
473,1aj7,3.87
474,1v16,3.87
475,3g2l,3.87
476,3w5n,3.87
477,3wjw,3.87
478,4nbk,3.87
479,3si4,3.88
480,4mjp,3.88
481,1m0q,3.89
482,2ctc,3.89
483,3iae,3.89
484,3obx,3.89
485,3umo,3.89
486,4aj4,3.89
487,4nl1,3.89
488,4ufk,3.89
489,1avn,3.90
490,2gvv,3.90
491,2qw1,3.90
492,2rkm,3.90
493,2vhj,3.90
494,2vuk,3.90
495,2wor,3.90
496,2wos,3.90
497,2xpc,3.90
498,4n9c,3.90
499,4qgi,3.90
500,1kuk,3.91
501,1pr5,3.92
502,3ap4,3.92
503,3twp,3.92
504,1h5v,3.93
505,2a5b,3.93
506,2cbz,3.93
507,1v1m,3.94
508,2v3d,3.94
509,4bi6,3.95
510,1mrs,3.96
511,2fpz,3.96
512,2wec,3.96
513,3c39,3.96
514,3gt9,3.96
515,4gqr,3.96
516,4agn,3.97
517,4ibg,3.97
518,1v11,3.98
519,3b3c,3.98
520,4agm,3.98
521,1rpf,3.99
522,2g8r,3.99
523,4i7l,3.99
524,1e5j,4.00
525,1lgw,4.00
526,1nu3,4.00
527,1tni,4.00
528,1wc1,4.00
529,2buv,4.00
530,2ot1,4.00
531,2qrl,4.00
532,2rin,4.00
533,2whp,4.00
534,3a1c,4.00
535,3ijh,4.00
536,3m8t,4.00
537,3vd9,4.00
538,4p6c,4.00
539,4umb,4.00
540,1c5z,4.01
541,1v2w,4.01
542,3fzn,4.01
543,2wvz,4.02
544,3po1,4.02
545,2q8m,4.03
546,2qrm,4.03
547,2x96,4.03
548,3bxh,4.03
549,3nq9,4.03
550,4msn,4.03
551,1hi5,4.04
552,1li2,4.04
553,1r4w,4.05
554,1toi,4.05
555,1tuf,4.05
556,2w66,4.05
557,3fjz,4.05
558,3n8k,4.05
559,3qx9,4.05
560,2clh,4.06
561,3m3c,4.06
562,8a3h,4.06
563,1hyo,4.07
564,2v2v,4.07
565,4xmr,4.07
566,2rke,4.08
567,2z1w,4.08
568,3kwa,4.08
569,1ai7,4.09
570,1o0n,4.09
571,2v88,4.09
572,3g2n,4.09
573,4b9z,4.09
574,4fxp,4.09
575,1c5t,4.10
576,1odj,4.10
577,2bvs,4.10
578,3gk1,4.10
579,3iod,4.10
580,4cr9,4.10
581,5cc2,4.10
582,1p19,4.11
583,2exm,4.11
584,3d6o,4.11
585,3oyw,4.11
586,3v4t,4.11
587,4ih5,4.11
588,3a1d,4.12
589,3ivc,4.12
590,3mam,4.12
591,4de2,4.12
592,4kxb,4.12
593,4qfn,4.12
594,4whs,4.12
595,4zow,4.12
596,3ozt,4.13
597,3qto,4.13
598,4ovf,4.13
599,4yc0,4.13
600,4i7m,4.14
601,4ibi,4.14
602,5dq8,4.14
603,1m2x,4.15
604,1q91,4.15
605,2v2q,4.15
606,2vt3,4.15
607,2xg9,4.15
608,3a9i,4.15
609,3c8e,4.15
610,3d51,4.15
611,3sur,4.15
612,3sus,4.15
613,4abh,4.15
614,4cr5,4.15
615,4ibe,4.15
616,4kz4,4.15
617,3si3,4.16
618,4jkw,4.16
619,1v2s,4.17
620,3qfd,4.17
621,4oma,4.17
622,2qfu,4.18
623,3q2j,4.18
624,1hi3,4.19
625,3b3w,4.19
626,3cft,4.19
627,3cr5,4.19
628,3f3a,4.19
629,3sv2,4.19
630,4n9a,4.19
631,4nra,4.19
632,4q83,4.19
633,1c5y,4.20
634,1c87,4.20
635,1ghw,4.20
636,1n3z,4.20
637,2r2b,4.20
638,3djp,4.20
639,3qx5,4.20
640,1odi,4.21
641,1qk4,4.21
642,4bqs,4.21
643,4u6w,4.21
644,1kv5,4.22
645,1pzi,4.22
646,1t5f,4.22
647,1ua4,4.22
648,3f80,4.22
649,3kyq,4.22
650,4gny,4.22
651,4mo4,4.22
652,4oak,4.22
653,2jke,4.23
654,2jkp,4.23
655,3zqe,4.23
656,4qfp,4.23
657,2bes,4.24
658,3h78,4.24
659,5e13,4.24
660,1li3,4.25
661,2qrk,4.26
662,3qwc,4.26
663,4r0a,4.26
664,4u69,4.26
665,1m5w,4.27
666,4qfo,4.27
667,2vzr,4.28
668,3f5j,4.28
669,3gta,4.28
670,3jrs,4.28
671,4ufj,4.28
672,1e2l,4.29
673,1v2l,4.29
674,2wuf,4.29
675,4i3z,4.29
676,1a30,4.30
677,1amk,4.30
678,1det,4.30
679,1w3k,4.30
680,2cli,4.30
681,2q7y,4.30
682,3ivg,4.30
683,3moe,4.30
684,3obu,4.30
685,3t0b,4.30
686,3upk,4.30
687,4eoh,4.30
688,4ibk,4.30
689,4jc1,4.30
690,4k7o,4.30
691,4o61,4.30
692,4zme,4.30
693,1ajq,4.31
694,2tpi,4.31
695,4kow,4.31
696,2ha6,4.32
697,2qtt,4.32
698,4q7p,4.32
699,4rsk,4.32
700,4u43,4.32
701,4ucc,4.32
702,1olx,4.33
703,3l7a,4.33
704,4ibj,4.33
705,4ijh,4.33
706,1e3v,4.34
707,1z6s,4.34
708,2ha5,4.34
709,1ghv,4.35
710,1sv3,4.35
711,1yfz,4.35
712,4owv,4.35
713,1dy4,4.36
714,2ez7,4.36
715,3rsr,4.36
716,4nbn,4.36
717,1td7,4.37
718,4gu9,4.37
719,1bhf,4.38
720,3b24,4.38
721,3guz,4.38
722,3u9q,4.38
723,2avq,4.39
724,2hjb,4.39
725,3djo,4.39
726,1p57,4.40
727,2pwd,4.40
728,3jzg,4.40
729,3wgg,4.40
730,4abd,4.40
731,4dy6,4.40
732,4omk,4.40
733,4pp0,4.40
734,1no6,4.41
735,1olu,4.41
736,2csn,4.41
737,2ypp,4.41
738,3rsx,4.41
739,3uxd,4.41
740,4exs,4.41
741,4ou3,4.41
742,1tjp,4.42
743,3dri,4.42
744,4cc5,4.42
745,4ek9,4.42
746,4q7s,4.42
747,2pu2,4.43
748,2we3,4.43
749,2wyf,4.43
750,3kqr,4.43
751,3m3e,4.43
752,3pxf,4.43
753,4axd,4.43
754,4dsy,4.43
755,4ibf,4.43
756,4jpy,4.43
757,4kcx,4.43
758,4qf9,4.43
759,4ykj,4.43
760,2amt,4.44
761,3u81,4.44
762,5azf,4.44
763,2wbg,4.45
764,4gki,4.46
765,4i8n,4.46
766,5c3p,4.46
767,2r2w,4.47
768,3hl5,4.47
769,4cu8,4.47
770,1jaq,4.48
771,1qan,4.48
772,2ogy,4.48
773,3p17,4.48
774,3t01,4.48
775,4dhl,4.48
776,4oks,4.48
777,1hi4,4.49
778,1j14,4.49
779,1o7o,4.49
780,3hl8,4.49
781,3kmy,4.49
782,4cwf,4.49
783,4el0,4.49
784,2eg8,4.50
785,3n7h,4.50
786,3sw8,4.50
787,1gi7,4.51
788,2r1y,4.51
789,3aas,4.51
790,3uug,4.51
791,4abb,4.51
792,4g90,4.51
793,1ctt,4.52
794,1gu1,4.52
795,1mrn,4.52
796,1z4o,4.52
797,2a4m,4.52
798,2ra6,4.52
799,2wm0,4.52
800,3bzf,4.52
801,3gy7,4.52
802,3r6u,4.52
803,4gzw,4.52
804,4trc,4.52
805,3h30,4.53
806,1amw,4.54
807,1b2h,4.54
808,1lyx,4.54
809,1szd,4.54
810,2zz1,4.54
811,2zz2,4.54
812,3iub,4.54
813,4b76,4.54
814,3b2q,4.55
815,3djv,4.55
816,3p8p,4.55
817,3ppq,4.55
818,3rr4,4.55
819,3suv,4.55
820,4myd,4.55
821,4x3k,4.56
822,3sym,4.57
823,4fp1,4.57
824,4or4,4.57
825,4yrd,4.57
826,4bi7,4.58
827,1bma,4.59
828,2ihj,4.59
829,2jiw,4.59
830,3f3t,4.59
831,3hp9,4.59
832,3ujc,4.59
833,3wq6,4.59
834,4c6u,4.59
835,4g8y,4.59
836,4j74,4.59
837,1pa9,4.60
838,1tx7,4.60
839,1u33,4.60
840,1upf,4.60
841,2pyy,4.60
842,2v54,4.60
843,2vb8,4.60
844,2vba,4.60
845,2wlz,4.60
846,2x0y,4.60
847,3d7k,4.60
848,3vhk,4.60
849,4bc5,4.60
850,4jal,4.60
851,4p58,4.60
852,2bo4,4.61
853,3lgs,4.61
854,4io4,4.61
855,4ocq,4.61
856,1f4f,4.62
857,2a5c,4.62
858,2f6t,4.62
859,2xm2,4.62
860,3f5k,4.62
861,3tk2,4.62
862,3u90,4.62
863,3umq,4.62
864,4abf,4.62
865,4ad3,4.62
866,4ynl,4.62
867,3uj9,4.63
868,4hzm,4.63
869,4psb,4.64
870,3qtv,4.65
871,4q93,4.65
872,4w9c,4.65
873,1bzj,4.66
874,1h4w,4.66
875,1m1b,4.66
876,2ca8,4.66
877,2ha2,4.66
878,3ddf,4.66
879,3mss,4.66
880,4tt2,4.66
881,3vw1,4.67
882,4gkh,4.67
883,4nku,4.67
884,1c5p,4.68
885,1wn6,4.68
886,1xge,4.68
887,2nsl,4.68
888,2uy4,4.68
889,2ypo,4.68
890,3g35,4.68
891,4lar,4.68
892,4ymg,4.68
893,5a5q,4.68
894,5aoj,4.68
895,2rio,4.69
896,3ujd,4.69
897,4agp,4.69
898,4mgd,4.69
899,4tpw,4.69
900,1c5n,4.70
901,1c86,4.70
902,2cex,4.70
903,2dw7,4.70
904,2fu8,4.70
905,2i2c,4.70
906,2qfo,4.70
907,3k5i,4.70
908,3kiv,4.70
909,3nkk,4.70
910,3suw,4.70
911,4j7d,4.70
912,4j93,4.70
913,4luz,4.70
914,4lzr,4.70
915,1v2t,4.71
916,2qrh,4.71
917,3ny3,4.71
918,4ljh,4.71
919,184l,4.72
920,1vso,4.72
921,3ebo,4.72
922,3f6g,4.72
923,3r6c,4.72
924,1v2o,4.73
925,4ayu,4.73
926,1bty,4.74
927,1w4p,4.74
928,2e2p,4.74
929,2ov4,4.74
930,3dnt,4.74
931,3f3u,4.74
932,3lcv,4.74
933,4ih6,4.74
934,4jxs,4.74
935,4kyk,4.74
936,3g2j,4.75
937,3nim,4.75
938,3vw2,4.75
939,1q8t,4.76
940,3acw,4.76
941,3o5n,4.76
942,4wop,4.76
943,1str,4.77
944,2afw,4.77
945,2b4l,4.77
946,3d50,4.77
947,3iqu,4.77
948,3rm9,4.77
949,4kax,4.77
950,4uoh,4.77
951,4ad6,4.78
952,1oss,4.79
953,2nsj,4.79
954,3eb1,4.79
955,3g2k,4.79
956,1bju,4.80
957,1ghz,4.80
958,2nta,4.80
959,3bpc,4.80
960,3dnd,4.80
961,4aq6,4.80
962,4llp,4.80
963,4lzs,4.80
964,4pb2,4.80
965,4ago,4.81
966,1aid,4.82
967,1dud,4.82
968,1f8e,4.82
969,1v1j,4.82
970,1xff,4.82
971,1y3p,4.82
972,2gl0,4.82
973,2gzl,4.82
974,2pwg,4.82
975,2ypi,4.82
976,3kmx,4.82
977,3r88,4.82
978,3vd4,4.82
979,4ciw,4.82
980,4fys,4.82
981,4ih3,4.82
982,4io6,4.82
983,4kwf,4.82
984,4rlu,4.82
985,3a1s,4.83
986,5efa,4.83
987,3r0y,4.84
988,3vvy,4.84
989,4kif,4.84
990,4uof,4.84
991,5d1r,4.84
992,186l,4.85
993,1c83,4.85
994,1ecv,4.85
995,1n51,4.85
996,1qji,4.85
997,1xgi,4.85
998,2qwd,4.85
999,2r9x,4.85
1000,2w4x,4.85
1001,3cj2,4.85
1002,3f70,4.85
1003,3ohi,4.85
1004,3qnd,4.85
1005,3ru1,4.85
1006,3zyf,4.85
1007,4hpi,4.85
1008,4iic,4.85
1009,4j7e,4.85
1010,4ovh,4.85
1011,4q87,4.85
1012,5efc,4.85
1013,2brb,4.86
1014,3g2i,4.86
1015,4ipj,4.87
1016,4q0k,4.87
1017,4rlw,4.87
1018,4rra,4.87
1019,3exh,4.88
1020,3lp4,4.88
1021,3pju,4.88
1022,1p1q,4.89
1023,2aoc,4.89
1024,2j77,4.89
1025,2vo5,4.89
1026,3d4z,4.89
1027,3juk,4.89
1028,3m8u,4.89
1029,3njq,4.89
1030,4cd1,4.89
1031,4l9i,4.89
1032,4pnu,4.89
1033,3cf8,4.90
1034,1km3,4.91
1035,3juq,4.91
1036,3rdv,4.91
1037,1bzc,4.92
1038,1e1v,4.92
1039,1jqy,4.92
1040,2haw,4.92
1041,3eax,4.92
1042,3rv8,4.92
1043,4j47,4.92
1044,3uxk,4.93
1045,4ido,4.93
1046,1e2k,4.94
1047,2gss,4.94
1048,2vo4,4.94
1049,2vpe,4.94
1050,4dmw,4.94
1051,4ts1,4.94
1052,1jn4,4.95
1053,2x95,4.95
1054,4bup,4.95
1055,1dar,4.96
1056,1elr,4.96
1057,1o5g,4.96
1058,1tsy,4.96
1059,1uz8,4.96
1060,2vjx,4.96
1061,2w67,4.96
1062,3bxg,4.96
1063,3lbj,4.96
1064,3veh,4.96
1065,3zsq,4.96
1066,4jsa,4.96
1067,4rlt,4.96
1068,3qbc,4.97
1069,4e3g,4.97
1070,4in9,4.97
1071,2w47,4.98
1072,4re2,4.98
1073,4w9d,4.99
1074,1c84,5.00
1075,1hlk,5.00
1076,1nc3,5.00
1077,1o35,5.00
1078,1ql7,5.00
1079,1sbr,5.00
1080,2oiq,5.00
1081,2oym,5.00
1082,2vxn,5.00
1083,3cfn,5.00
1084,3gbe,5.00
1085,3k02,5.00
1086,3p9m,5.00
1087,4czs,5.00
1088,4u6c,5.00
1089,4xxh,5.00
1090,1ppi,5.01
1091,2glp,5.01
1092,4agq,5.01
1093,4dds,5.01
1094,4u4x,5.01
1095,2d0k,5.02
1096,2xbp,5.02
1097,3bgc,5.02
1098,3usx,5.02
1099,4u70,5.02
1100,4w9l,5.02
1101,1i1e,5.03
1102,4io5,5.03
1103,4np9,5.03
1104,1mfa,5.04
1105,3tz0,5.04
1106,4jym,5.04
1107,4lk7,5.04
1108,1dgm,5.05
1109,1fkw,5.05
1110,1qxk,5.05
1111,3aau,5.05
1112,3s76,5.05
1113,4euo,5.05
1114,4oct,5.05
1115,4rqv,5.05
1116,4yzu,5.05
1117,2v77,5.06
1118,2yge,5.06
1119,3f68,5.06
1120,4h7q,5.06
1121,5a2i,5.06
1122,5c1w,5.06
1123,2c3l,5.07
1124,2xm1,5.07
1125,2yfa,5.07
1126,3juo,5.07
1127,1enu,5.08
1128,1gfy,5.08
1129,2qtg,5.08
1130,3qyy,5.08
1131,3tb6,5.08
1132,4oiv,5.08
1133,1m48,5.09
1134,1nw7,5.09
1135,2ygf,5.09
1136,1ez9,5.10
1137,1kmy,5.10
1138,1od8,5.10
1139,1onz,5.10
1140,1v0k,5.10
1141,1w7g,5.10
1142,2h5a,5.10
1143,2qrq,5.10
1144,2r9w,5.10
1145,3gy4,5.10
1146,3p4v,5.10
1147,3syr,5.10
1148,3ujb,5.10
1149,4dcs,5.10
1150,1k4h,5.11
1151,1yp9,5.11
1152,3k4d,5.11
1153,3ozj,5.11
1154,4qfl,5.11
1155,1qaw,5.12
1156,1uv6,5.12
1157,2web,5.12
1158,3zso,5.12
1159,4f1l,5.12
1160,4h81,5.12
1161,1gcz,5.13
1162,3s9e,5.13
1163,1y3x,5.14
1164,2br1,5.14
1165,2yaz,5.14
1166,3tao,5.14
1167,4ejl,5.14
1168,1jcx,5.15
1169,1jvu,5.15
1170,1o0m,5.15
1171,1pb8,5.15
1172,1qk3,5.15
1173,1s38,5.15
1174,1thz,5.15
1175,2afx,5.15
1176,3ozr,5.15
1177,4h85,5.15
1178,4jpx,5.15
1179,4qrh,5.15
1180,3b27,5.16
1181,2zfp,5.17
1182,3b7j,5.17
1183,4gkm,5.17
1184,5ahw,5.17
1185,5aut,5.17
1186,1ft7,5.18
1187,2qrg,5.18
1188,3w37,5.18
1189,4duh,5.18
1190,4iif,5.18
1191,4u73,5.18
1192,1ocq,5.19
1193,1ogg,5.19
1194,1oxr,5.19
1195,1rnt,5.19
1196,2qdt,5.19
1197,4ezz,5.19
1198,4m0z,5.19
1199,3ov1,5.20
1200,3uu1,5.20
1201,4a6s,5.20
1202,4ezr,5.20
1203,1nw5,5.21
1204,1o2r,5.21
1205,4cwo,5.21
1206,4few,5.21
1207,4je8,5.21
1208,4m0r,5.21
1209,1bq4,5.22
1210,1gjd,5.22
1211,1j17,5.22
1212,1o5c,5.22
1213,1ucn,5.22
1214,1w4o,5.22
1215,1zea,5.22
1216,2gz2,5.22
1217,2hxm,5.22
1218,2wzm,5.22
1219,2zxd,5.22
1220,3dne,5.22
1221,3iof,5.22
1222,3lq2,5.22
1223,3ms9,5.22
1224,3n1c,5.22
1225,3ppp,5.22
1226,3q71,5.22
1227,3qxt,5.22
1228,4lrr,5.22
1229,4u71,5.22
1230,1b4z,5.23
1231,1ndw,5.23
1232,2q38,5.23
1233,3lc3,5.23
1234,1fh7,5.24
1235,1q8w,5.24
1236,1s89,5.24
1237,2jfz,5.24
1238,3pb8,5.24
1239,3ueu,5.24
1240,4gue,5.24
1241,4idn,5.24
1242,4ih7,5.24
1243,4non,5.24
1244,4y59,5.24
1245,2bfr,5.25
1246,3r24,5.25
1247,1w4q,5.26
1248,2qft,5.26
1249,3n9s,5.26
1250,4omj,5.26
1251,2x7u,5.27
1252,3tkw,5.27
1253,4jfs,5.27
1254,1b46,5.28
1255,1f5l,5.28
1256,3bbf,5.28
1257,3o5x,5.28
1258,4e70,5.28
1259,4j46,5.28
1260,1c88,5.29
1261,2wc4,5.29
1262,1a69,5.30
1263,1h6h,5.30
1264,1o0f,5.30
1265,1srg,5.30
1266,2q7q,5.30
1267,2vk6,5.30
1268,3gpo,5.30
1269,3p9l,5.30
1270,3pgl,5.30
1271,3upv,5.30
1272,1hk4,5.31
1273,1mfd,5.31
1274,4or6,5.31
1275,4u1b,5.31
1276,1lvu,5.32
1277,1y20,5.32
1278,4ipi,5.32
1279,4us3,5.32
1280,2c80,5.33
1281,3arx,5.33
1282,3ozs,5.33
