Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
11,1bnt,refined,Protein-Ligand,2.15,Kd=0.16nM,9.8,1999,carbonic anhydrase ii,AL2,9865942,46391571,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
12,1bnu,refined,Protein-Ligand,2.15,Kd=0.20nM,9.7,1999,carbonic anhydrase ii,AL3,9865942,46391572,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
13,1bnv,refined,Protein-Ligand,2.4,Kd=1.70nM,8.77,1999,carbonic anhydrase ii,AL7,9865942,46391573,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
14,1bnw,refined,Protein-Ligand,2.25,Kd=0.83nM,9.08,1999,carbonic anhydrase ii,TPD,9865942,46391574,E.C.4.2.1.1,"Protein Sci. v7 pp. 2483-9, 1998",P00918
15,1cam,general,Protein-Ligand,1.7,Kd=4mM,2.4,1993,carbonic anhydrase ii,BCT,7901850,,E.C.4.2.1.1,"Proteins v17 pp. 93-106, 1993",P00918
16,1cil,general,Protein-Ligand,1.6,Ki=0.37nM,9.43,1994,carbonic anhydrase ii,ETS,8142888,46391654,E.C.4.2.1.1,"Protein Sci. v3 pp. 118-25, 1994",P00918
17,1cim,general,Protein-Ligand,2.1,Ki=1.52nM,8.82,1994,carbonic anhydrase ii,PTS,8142888,46391655,E.C.4.2.1.1,"Protein Sci. v3 pp. 118-25, 1994",P00918
18,1cin,general,Protein-Ligand,2.1,Ki=1.88nM,8.73,1994,carbonic anhydrase ii,MTS,8142888,46391656,E.C.4.2.1.1,"Protein Sci. v3 pp. 118-25, 1994",P00918
19,1cnw,refined,Protein-Ligand,2,Kd=19nM,7.72,1995,carbonic anhydrase ii,EG1,7608893,46391662,E.C.4.2.1.1,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918
20,1cnx,refined,Protein-Ligand,1.9,Kd=43nM,7.37,1995,carbonic anhydrase ii,EG2,7608893,46391663,E.C.4.2.1.1,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918
21,1cny,refined,Protein-Ligand,2.3,Kd=14nM,7.85,1995,carbonic anhydrase ii,EG3,7608893,46391664,E.C.4.2.1.1,"J.Med.Chem. v38 pp. 2286-91, 1995",P00918
22,1eou,general,Protein-Ligand,2.1,IC50=36nM,7.44,2002,carbonic anhydrase ii,SMS,11802772,46391820,E.C.4.2.1.1,Biochem.J.v361;pp.437-441,P00918
23,1g1d,refined,Protein-Ligand,2.04,Kd=0.36nM,9.44,2000,carbonic anhydrase ii,FSB,,46391942,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
24,1g45,refined,Protein-Ligand,1.83,Kd=2.3nM,8.64,2000,carbonic anhydrase ii,FSB,,46391960,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
25,1g46,refined,Protein-Ligand,1.84,Kd=1.6nM,8.8,2000,carbonic anhydrase ii,F2B,,46391961,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
26,1g48,refined,Protein-Ligand,1.86,Kd=3.9nM,8.41,2000,carbonic anhydrase ii,F6B,,46391962,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
27,1g4j,general,Protein-Ligand,1.84,Kd=2.0nM,8.7,2000,carbonic anhydrase ii,FFB,,46391964,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
28,1g4o,refined,Protein-Ligand,1.96,Kd=5.6nM,8.25,2000,carbonic anhydrase ii,BSB,,46391966,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
29,1g52,refined,Protein-Ligand,1.8,Kd=0.29nM,9.54,2000,carbonic anhydrase ii,F2B,,46391967,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
30,1g53,refined,Protein-Ligand,1.94,Kd=0.91nM,9.04,2000,carbonic anhydrase ii,F6B,,46391968,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
31,1g54,refined,Protein-Ligand,1.86,Kd=1.5nM,8.82,2000,carbonic anhydrase ii,FFB,,46391969,E.C.4.2.1.1,J.Am.Chem.Soc.v122;pp.12125-12134,P00918
32,1h4n,general,Protein-Ligand,2,Ki=12uM,4.92,1997,carbonic anhydrase ii,TRS,9398308,46392089,E.C.4.2.1.1,"Biochemistry v36 pp. 15780-91, 1997",P00918
33,1i8z,general,Protein-Ligand,1.93,IC50=1.27nM,8.9,2001,carbonic anhydrase ii,INL,11831900,46392195,E.C.4.2.1.1,"J.Med.Chem. v45 pp. 888-93, 2002",P00918
34,1i90,general,Protein-Ligand,2,IC50=1.28nM,8.89,2001,carbonic anhydrase ii,INM,11831900,46392196,E.C.4.2.1.1,"J.Med.Chem. v45 pp. 888-93, 2002",P00918
35,1i91,general,Protein-Ligand,2,IC50=1.15nM,8.94,2001,carbonic anhydrase ii,INQ,11831900,46392197,E.C.4.2.1.1,"J.Med.Chem. v45 pp. 888-93, 2002",P00918
36,1i9l,general,Protein-Ligand,1.93,Kd=3.3nM,8.48,2001,carbonic anhydrase ii,INV,11572683,46392198,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
37,1i9m,general,Protein-Ligand,1.84,Kd=3.3nM,8.48,2001,carbonic anhydrase ii,INW,11572683,46392199,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
38,1i9n,refined,Protein-Ligand,1.86,Kd=2.2nM,8.66,2001,carbonic anhydrase ii f131v,IOA,11572683,46392200,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
39,1i9o,general,Protein-Ligand,1.86,Kd=3.8nM,8.42,2001,carbonic anhydrase ii,IOC,11572683,46392201,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
40,1i9p,refined,Protein-Ligand,1.92,Kd=3.9nM,8.41,2001,carbonic anhydrase ii f131v,IOE,11572683,46392202,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
41,1i9q,general,Protein-Ligand,1.8,Kd=3.9nM,8.41,2001,carbonic anhydrase ii,IOF,11572683,46392203,E.C.4.2.1.1,"J.Am.Chem.Soc. v123 pp. 9620-7, 2001",P00918
42,1if7,refined,Protein-Ligand,1.98,Kd=30pM,10.52,2001,carbonic anhydrase ii,SBR,11818565,46392213,E.C.4.2.1.1,"Proc.Natl.Acad.Sci.USA v99 pp. 1270-3, 2002",P00918
43,1if8,refined,Protein-Ligand,1.94,Kd=230pM,9.64,2001,carbonic anhydrase ii,SBS,11818565,46392214,E.C.4.2.1.1,"Proc.Natl.Acad.Sci.USA v99 pp. 1270-3, 2002",P00918
44,1jd0,general,Protein-Ligand,1.5,Ki=5.7nM,8.24,2001,extracellular domain of human zinc enzyme carbonic anhydrase XII,AZM,19119014,0,E.C.4.2.1.1,"(2009) Bioorg. Med. Chem., Vol.17, pp.1214-1221",O43570
45,1kwq,general,Protein-Ligand,2.6,IC50=0.62nM,9.21,2003,carbonic anhydrase ii,SG1,,46392390,E.C.4.2.1.1,J.Med.Chem.v45;pp.3588-3602,P00918
46,1kwr,general,Protein-Ligand,2.25,IC50=0.25uM,6.6,2003,carbonic anhydrase ii,SG2,,46392391,E.C.4.2.1.1,J.Med.Chem.v45;pp.3588-3602,P00918
47,1okl,refined,Protein-Ligand,2.1,Kd=0.93uM,6.03,1997,carbonic anhydrase ii,MNS,8557623,46392791,E.C.4.2.1.1,"J.Biol.Chem. v271 pp. 1003-7, 1996",P00918
48,1oq5,general,Protein-Ligand,1.5,IC50=21nM,7.68,2004,carbonic anhydrase ii,CEL,14736236,46392808,E.C.4.2.1.1,"J.Med.Chem. v47 pp. 550-7, 2004",P00918
49,1ttm,refined,Protein-Ligand,1.95,Kd=45nM,7.35,2004,carbonic anhydrase ii,667,15453828,46393268,E.C.4.2.1.1,"Biochem.J. v385 pp. 715-20, 2005",P00918
50,1xpz,refined,Protein-Ligand,2.02,Kd=84nM,7.08,2005,carbonic anhydrase ii,4TZ,15865431,46393588,E.C.4.2.1.1,"Biochemistry v44 pp. 6858-66, 2005",P00918
51,1xq0,refined,Protein-Ligand,1.76,Kd=454nM,6.34,2005,carbonic anhydrase ii,4TR,15865431,46393589,E.C.4.2.1.1,"Biochemistry v44 pp. 6858-66, 2005",P00918
52,1yda,refined,Protein-Ligand,2.1,Kd=280nM,6.55,1995,carbonic anhydrase ii,AZM,7696263,46393643,E.C.4.2.1.1,"Biochemistry v34 pp. 3981-9, 1995",P00918
53,1ydb,refined,Protein-Ligand,1.9,Kd=5.8nM,8.24,1995,carbonic anhydrase ii,AZM,7696263,46393644,E.C.4.2.1.1,"Biochemistry v34 pp. 3981-9, 1995",P00918
54,1ydd,refined,Protein-Ligand,2.1,Kd=86nM,7.07,1995,carbonic anhydrase ii,AZM,7696263,46393645,E.C.4.2.1.1,"Biochemistry v34 pp. 3981-9, 1995",P00918
55,1z9y,refined,Protein-Ligand,1.66,Ki=65nM,7.19,2006,human carbonic anhydrase II,FUN,19119014,0,E.C.4.2.1.1,"(2009) Bioorg. Med. Chem., Vol.17, pp.1214-1221",P00918
56,1ze8,general,Protein-Ligand,2,Ki=21nM,7.68,2005,carbonic anhydrase ii,PIU,16134940,46393723,E.C.4.2.1.1,"J.Med.Chem. v48 pp. 5721-7, 2005",P00918
57,1zfk,general,Protein-Ligand,1.56,Ki=12nM,7.92,2006,human carbonic anhydrase II,NR2,22705188,0,E.C.4.2.1.1,"(2013) Bioorg. Med. Chem., Vol.21, pp.1555-1563",P00918
58,1zfq,refined,Protein-Ligand,1.55,Ki=30nM,7.52,2006,human carbonic anhydrase II,ZEC,22285172,0,E.C.4.2.1.1,"(2012) Bioorg. Med. Chem., Vol.20, pp.1403-1410",P00918
59,1zge,refined,Protein-Ligand,1.65,Ki=50nM,7.3,2006,human carbonic anhydrase II,SDA,12747790,0,E.C.4.2.1.1,"(2003) J. Med. Chem., Vol.46, pp.2187-2196",P00918
60,1zsb,general,Protein-Ligand,2,Kd=250mM,0.6,1996,carbonic anhydrase ii,AZM,8639494,46393746,E.C.4.2.1.1,"Biochemistry v35 pp. 3439-46, 1996",P00918
61,2aw1,general,Protein-Ligand,1.46,Ki=43nM,7.37,2006,carbonic anhydrase ii,COX,16290146,46393843,E.C.4.2.1.1,"Bioorg.Med.Chem.Lett. v16 pp. 437-42, 2006",P00918
62,2ez7,refined,Protein-Ligand,2,Kd=43.5uM,4.36,2006,carbonic anhydrase ii,DHI,16807956,46394074,E.C.4.2.1.1,"Chemistry v12 pp. 7057-66, 2006",P00918
63,2f14,general,Protein-Ligand,1.71,Kd=0.64nM,9.19,2006,carbonic anhydrase ii,FL1,16787097,46394076,E.C.4.2.1.1,"J.Am.Chem.Soc. v128 pp. 8329-35, 2006",P00918
64,2fou,general,Protein-Ligand,0.99,Kd=80nM,7.1,2006,carbonic anhydrase ii,B22,16506782,46394135,E.C.4.2.1.1,"J.Am.Chem.Soc. v128 pp. 3011-8, 2006",P00918
65,2fov,general,Protein-Ligand,1.15,Kd=28nM,7.55,2006,carbonic anhydrase ii,B30,16506782,46394136,E.C.4.2.1.1,"J.Am.Chem.Soc. v128 pp. 3011-8, 2006",P00918
66,2foy,general,Protein-Ligand,1.55,Kd=120nM,6.92,2006,carbonic anhydrase i,B30,16506782,46394137,E.C.4.2.1.1,"J.Am.Chem.Soc. v128 pp. 3011-8, 2006",P00915
67,2gd8,general,Protein-Ligand,1.46,IC50=39nM,7.41,2007,Carbonic anhydrase 2,PO1,17181151,53812635,E.C.4.2.1.1,"J. Med. Chem. 2006, 49, 7683-7696.",P00918
68,2h15,refined,Protein-Ligand,1.9,Ki=2135nM,5.67,2007,Carbonic anhydrase 2,B19,17125255,53812659,E.C.4.2.1.1,"J. Med. Chem. 2006, 49, 7024-7031.",P00918
69,2h4n,refined,Protein-Ligand,1.9,Kd=2nM,8.7,1997,carbonic anhydrase ii,AZM,9398308,46394226,E.C.4.2.1.1,"Biochemistry v36 pp. 15780-91, 1997",P00918
70,2hd6,general,Protein-Ligand,1.8,Ki=16nM,7.8,2006,carbonic anhydrase ii,BOS,16942027,46394240,E.C.4.2.1.1,"J.Med.Chem. v49 pp. 5544-51, 2006",P00918
71,2hl4,refined,Protein-Ligand,1.55,Ki=23nM,7.64,2007,human carbonic anhydrase II,BO1,20211561,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem. Lett., Vol.20, pp.2178-2182",P00918
72,2hnc,refined,Protein-Ligand,1.55,Ki=60nM,7.22,2006,human carbonic anhydrase II,1SA,22285172,0,E.C.4.2.1.1,"(2012) Bioorg. Med. Chem., Vol.20, pp.1403-1410",P00918
73,2hoc,refined,Protein-Ligand,2.1,Ki=0.3nM,9.52,2006,human carbonic anhydrase II,1CN,22285172,0,E.C.4.2.1.1,"(2012) Bioorg. Med. Chem., Vol.20, pp.1403-1410",P00918
74,2it4,general,Protein-Ligand,2,Ki=24.1mM,1.62,2007,Carbonic anhydrase 1,PPF,17314045,53812727,E.C.4.2.1.1,"Bioorg. Med. Chem. Lett. 2007, 17, 2210-2215.",P00915
75,2nmx,refined,Protein-Ligand,1.55,Kd=2.7uM,5.57,2007,Carbonic Anhydrase I,M25,17407288,53812773,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00915
76,2nn1,refined,Protein-Ligand,1.65,Kd=1.5uM,5.82,2007,Carbonic anhydrase 1,M28,17407288,53812776,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00915
77,2nn7,refined,Protein-Ligand,1.85,Kd=0.3uM,6.52,2007,Carbonic anhydrase 1,M29,17407288,53812777,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00915
78,2nng,general,Protein-Ligand,1.2,Kd=4.4uM,5.36,2007,Carbonic anhydrase 2,ZYX,17407288,53812778,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00918
79,2nno,general,Protein-Ligand,1.01,Kd=0.4uM,6.4,2007,Carbonic anhydrase 2,M28,17407288,53812780,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00918
80,2nns,general,Protein-Ligand,1.03,Kd=0.9uM,6.05,2007,Carbonic anhydrase 2,M25,17407288,53812783,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00918
81,2nnv,general,Protein-Ligand,1.1,Kd=0.03uM,7.52,2007,Carbonic anhydrase 2,M29,17407288,53812784,E.C.4.2.1.1,"J. Am. Chem. Soc. 2007, 129, 5528-5537.",P00918
82,2o4z,refined,Protein-Ligand,2.1,Ki=566nM,6.25,2007,human carbonic anhydrase II,HSW,20472429,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem. Lett., Vol.20, pp.3601-3605",P00918
83,2pou,refined,Protein-Ligand,1.6,Ki=38nM,7.42,2007,Carbonic anhydrase 2,I7A,17540563,53812947,E.C.4.2.1.1,Bioorg.Med.Chem.Lett.  17: 4201-4207,P00918
84,2pov,refined,Protein-Ligand,1.6,Ki=75nM,7.12,2007,Carbonic anhydrase 2,I7B,17540563,53812948,E.C.4.2.1.1,Bioorg.Med.Chem.Lett.  17: 4201-4207,P00918
85,2pow,refined,Protein-Ligand,1.75,Ki=63nM,7.2,2007,Carbonic anhydrase 2,I7C,17540563,53812949,E.C.4.2.1.1,Bioorg.Med.Chem.Lett.  17: 4201-4207,P00918
86,2q1q,refined,Protein-Ligand,1.9,Ki=7nM,8.15,2007,Carbonic anhydrase 2   ,OSP,17588751,53812969,E.C.4.2.1.1,Bioorg.Med.Chem.Lett.  17: 4866-4872,P00918
87,2q38,refined,Protein-Ligand,1.95,Ki=5950nM,5.23,2007,human carbonic anhydrase II,LSA,22285172,0,E.C.4.2.1.1,"(2012) Bioorg. Med. Chem., Vol.20, pp.1403-1410",P00918
88,2qo8,general,Protein-Ligand,1.4,Ki=3.4nM,8.47,2008,Carbonic anhydrase 2,3CC,18161740,0,E.C.4.2.1.1,(2007) Chemmedchem Vol. 3: pp. 473-477,P00918
89,2qoa,general,Protein-Ligand,1.6,Ki=52nM,7.28,2008,Carbonic anhydrase 2,MAJ,18161740,0,E.C.4.2.1.1,(2007) Chemmedchem Vol. 3: pp. 473-477,P00918
90,2wd3,general,Protein-Ligand,1.8,IC50=86nM,7.07,2010,CARBONIC ANHYDRASE 2,MS4,20148564,0,E.C.4.2.1.1,"J. Med. Chem., 53, 2155-2170",P00918
91,2weg,refined,Protein-Ligand,1.1,Kd=314nM,6.5,2009,Carbonic Anhydrase 2,FBV,19882701,0,E.C.4.2.1.1,(2009) Chemmedchem,P00918
92,2weh,refined,Protein-Ligand,2.1,Kd=1125nM,5.95,2009,Carbonic Anhydrase 2,FB1,19882701,0,E.C.4.2.1.1,(2009) Chemmedchem,P00918
93,2wej,refined,Protein-Ligand,1.45,Kd=839nM,6.08,2009,Carbonic Anhydrase 2,FB2,19882701,0,E.C.4.2.1.1,(2009) Chemmedchem,P00918
94,2weo,refined,Protein-Ligand,1.4,Kd=118nM,6.93,2009,Carbonic Anhydrase 2,FBW,19882701,0,E.C.4.2.1.1,(2009) Chemmedchem,P00918
95,2x7s,general,Protein-Ligand,1.64,Ki=1660nM,5.78,2010,HUMAN CARBONIC ANHYDRASE II,WZC,20297840,0,E.C.4.2.1.1,"Biochemistry, 49, 3464-3476",P00918
96,2x7t,refined,Protein-Ligand,1.89,Ki=232nM,6.63,2010,HUMAN CARBONIC ANHYDRASE II,WZB,20297840,0,E.C.4.2.1.1,"Biochemistry, 49, 3464-3476",P00918
97,2x7u,refined,Protein-Ligand,2.12,Ki=5340nM,5.27,2010,HUMAN CARBONIC ANHYDRASE II,WZA,20297840,0,E.C.4.2.1.1,"Biochemistry, 49, 3464-3476",P00918
98,3c7p,general,Protein-Ligand,1.7,IC50=0.1nM,10,2009,Carbonic anhydrase 2,POF,18723489,0,E.C.4.2.1.1,(2008) Mol.Cancer Ther. Vol. 7: pp. 2435-2444,P00918
99,3cyu,general,Protein-Ligand,1.7,Kd=60nM,7.22,2008,Carbonic anhydrase 2,0CR,18461940,87557698,E.C.4.2.1.1,(2008) J.Am.Chem.Soc. Vol. 130: pp. 6942-6943 ,P00918
100,3czv,refined,Protein-Ligand,2,Ki=16nM,7.8,2008,Carbonic anhydrase 13,AZM,18618712,87557702,E.C.4.2.1.1,(2008) Proteins Vol. 74: pp. 164-175 ,Q8N1Q1
101,3d8w,refined,Protein-Ligand,1.7,Ki=7.0nM,8.15,2009,Carbonic anhydrase II (CA II),D8W,19170619,0,E.C.4.2.1.1,(2009) Biochemistry Vol. 48: pp. 1322-1331,P00918
102,3d9z,refined,Protein-Ligand,1.65,Ki=2.0nM,8.7,2009,Carbonic anhydrase II (CA II),D9Z,19170619,0,E.C.4.2.1.1,(2009) Biochemistry Vol. 48: pp. 1322-1331,P00918
103,3daz,refined,Protein-Ligand,1.6,Ki=11.8nM,7.93,2009,Carbonic anhydrase II (CA II),MZM,19170619,0,E.C.4.2.1.1,(2009) Biochemistry Vol. 48: pp. 1322-1331,P00918
104,3dd0,refined,Protein-Ligand,1.48,Ki=1nM,9,2009,Carbonic anhydrase II,EZL,19170619,0,E.C.4.2.1.1,(2009) Biochemistry Vol. 48: pp. 1322-1331,P00918
105,3dd8,refined,Protein-Ligand,1.9,Ki=14nM,7.85,2008,Carbonic anhydrase 2,2C7,18640037,87557738,E.C.4.2.1.1,(2008) Bioorg.Med.Chem.Lett. Vol. 18: pp. 4282-4286 ,P00918
106,3eft,refined,Protein-Ligand,1.85,Ki=12nM,7.92,2009,human Carbonic anhydrase 2,3BS,19778001,0,E.C.4.2.1.1,(2009) J.Phys.Chem.B Vol. 113: pp. 13998-14005,P00918
107,3f7b,general,Protein-Ligand,2.05,IC50=64nM,7.19,2009,soluble domain of Carbonic anhydrase 4,AG5,20363633,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 3307-3319,P22748
108,3f7u,general,Protein-Ligand,2,IC50=246nM,6.61,2009,soluble domain of Carbonic anhydrase 4,AG4,20363633,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 3307-3319,P22748
109,3f8e,refined,Protein-Ligand,2,Ki=59nM,7.23,2009,Carbonic anhydrase 2,TE1,19206230,0,E.C.4.2.1.1,(2009) J.Am.Chem.Soc. Vol. 131: pp. 3057-3062,P00918
110,3ffp,refined,Protein-Ligand,1.81,Ki=72.5nM,7.14,2009,Carbonic anhydrase 2,LC1,19186056,0,E.C.4.2.1.1,(2009) Bioorg.Med.Chem.Lett. Vol. 19: pp. 1371-1375,P00918
111,3fw3,general,Protein-Ligand,1.72,IC50=43nM,7.37,2009,soluble domain of Carbonic anhydrase 4,ETS,20363633,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 3307-3319,P22748
112,3hkn,refined,Protein-Ligand,1.8,Ki=4.51uM,5.35,2009,Human carbonic anhydrase II,MFS,19827837,0,E.C.4.2.1.1,(2009) J.Med.Chem. Vol. 52: pp. 6421-6432,P00918
113,3hkq,refined,Protein-Ligand,1.7,Ki=4.55uM,5.34,2009,Human carbonic anhydrase Isozymes II,1SD,,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
114,3hkt,refined,Protein-Ligand,2.36,Ki=4.1uM,5.39,2009,Human carbonic anhydrase isozyme II,2SD,,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
115,3hku,refined,Protein-Ligand,1.8,Ki=5nM,8.3,2009,Human carbonic anhydrase isozyme II,TOR,,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
116,3hs4,refined,Protein-Ligand,1.1,Ki=10nM,8,2009,Carbonic anhydrase 2,AZM,19851004,0,E.C.4.2.1.1,"(2009) Acta Crystallogr.,Sect.F Vol. 65: pp. 992-995",P00918
117,3ibi,refined,Protein-Ligand,1.93,Ki=2.6nM,8.59,2009,human carbonic anhydrase II,BOW,19731956,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
118,3ibl,refined,Protein-Ligand,1.55,Ki=14.6nM,7.84,2009,human carbonic anhydrase II,O59,19731956,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
119,3ibn,refined,Protein-Ligand,2.2,Ki=24.5nM,7.61,2009,human carbonic anhydrase II,O60,19731956,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
120,3ibu,refined,Protein-Ligand,1.41,Ki=0.7nM,9.15,2009,human carbonic anhydrase II,O48,19731956,0,E.C.4.2.1.1,(2009) J.Med.Chem.,P00918
121,3ieo,general,Protein-Ligand,2,Ki=331nM,6.48,2010,Carbonic anhydrase 2,AMJ,20028100,0,E.C.4.2.1.1,"J. Med. Chem., 53, 850-854",P00918
122,3igp,refined,Protein-Ligand,1.65,Ki=94.5nM,7.02,2010,Carbonic anhydrase 2,DT7,20170095,0,E.C.4.2.1.1,"J. Med. Chem., 53, 2401-2408",P00918
123,3k2f,refined,Protein-Ligand,1.98,Ki=63nM,7.2,2009,human Carbonic anhydrase 2,NKX,19854054,0,E.C.4.2.1.1,(2009) Bioorg.Med.Chem.Lett. Vol. 19: pp. 6565-6570,P00918
124,3kig,general,Protein-Ligand,1.39,IC50=245nM,6.61,2010,"Carbonic anhydrase 2, CA2-H64C",DA4,21506176,0,E.C.4.2.1.1,(2011) Chemistry Vol. 17: pp. 5842-5851,P00918
125,3kwa,refined,Protein-Ligand,2,Ki=84uM,4.08,2010,Human Carbonic anhydrase 2,SPM,20590092,0,E.C.4.2.1.1,(2010) J.Med.Chem. Vol. 53: pp. 5511-5522,P00918
126,3lxe,refined,Protein-Ligand,1.9,Ki=250nM,6.6,2010,Human Carbonic Anhydrase I,TOR,20505865,0,E.C.4.2.1.1,"Org.Biomol.Chem. 8, 3528-3533",P00915
127,3m1k,refined,Protein-Ligand,1.35,Ki=4.1uM,5.39,2010,Human Carbonic anhydrase 2,BEW,20629007,0,E.C.4.2.1.1,(2010) Chemmedchem Vol. 5: pp. 1609-1615,P00918
128,3m3x,refined,Protein-Ligand,1.68,Kd=0.15uM,6.82,2010,human carbonic anhydrase II,JS7,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
129,3m40,refined,Protein-Ligand,1.6,Kd=0.17uM,6.77,2010,human carbonic anhydrase II,J45,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
130,3m5e,refined,Protein-Ligand,1.7,Kd=0.043uM,7.37,2010,human carbonic anhydrase II,JDR,20889345,0,E.C.4.2.1.1,"(2010) Bioorg. Med. Chem., Vol.18, pp.7413-7421",P00918
131,3m67,refined,Protein-Ligand,1.8,Kd=0.18uM,6.74,2010,human carbonic anhydrase isozyme II,E36,20926301,0,E.C.4.2.1.1,(2010) Bioorg.Med.Chem. Vol. 18: pp. 7357-7364,P00918
