,pdbid,1
588,4zki,2.92
589,5c0k,2.92
590,5ct2,2.92
591,5x4m,2.92
592,6fv4,2.92
593,1tng,2.93
594,3ftv,2.93
595,4zv2,2.93
596,1p6d,2.94
597,2vmc,2.94
598,4y62,2.95
599,1f4e,2.96
600,1w1t,2.96
601,1ykp,2.96
602,2br6,2.96
603,2kdh,2.96
604,2w8j,2.96
605,3g34,2.96
606,3imc,2.96
607,3img,2.96
608,4bgy,2.96
609,4dst,2.96
610,4k3l,2.96
611,4mrg,2.96
612,4owm,2.96
613,5fng,2.96
614,2hw2,2.97
615,4ceb,2.97
616,5flq,2.97
617,2rnw,2.98
618,3ckb,2.98
619,3djq,2.98
620,4ibc,2.98
621,5aba,2.98
622,5aqu,2.98
623,3ump,2.99
624,4a4g,2.99
625,4bps,2.99
626,1ecq,3.0
627,1hqg,3.0
628,1mcz,3.0
629,1ux7,3.0
630,1w7h,3.0
631,1wbg,3.0
632,1wbo,3.0
633,1ws4,3.0
634,1yc5,3.0
635,1z9h,3.0
636,1zm7,3.0
637,2f1b,3.0
638,2h2e,3.0
639,2q8h,3.0
640,2r0y,3.0
641,2rka,3.0
642,2v3u,3.0
643,2vin,3.0
644,2vtm,3.0
645,2wa3,3.0
646,2xgm,3.0
647,2xgo,3.0
648,2xp3,3.0
649,2ych,3.0
650,3ap7,3.0
651,3d9o,3.0
652,3eka,3.0
653,3grj,3.0
654,3ime,3.0
655,3nf8,3.0
656,3nk8,3.0
657,3ob0,3.0
658,4b2i,3.0
659,4fe9,3.0
660,4k0o,3.0
661,4k5z,3.0
662,4k64,3.0
663,4k72,3.0
664,4l51,3.0
665,4l5j,3.0
666,4lkh,3.0
667,4llk,3.0
668,4m5r,3.0
669,4o7d,3.0
670,4oyp,3.0
671,4oz2,3.0
672,4r3w,3.0
673,4txs,3.0
674,4u0w,3.0
675,4wh9,3.0
676,5a5o,3.0
677,5aqr,3.0
678,5c7b,3.0
679,5ehw,3.0
680,5fnq,3.0
681,5jah,3.0
682,5l97,3.0
683,5lz2,3.0
684,5tpc,3.0
685,5u66,3.0
686,5ye8,3.0
687,6fh6,3.0
688,6fh7,3.0
689,6ftz,3.0
690,6gjy,3.0
691,1g42,3.01
692,1utm,3.01
693,4g0p,3.01
694,5jan,3.01
695,2vmd,3.02
696,3dc2,3.02
697,3fuk,3.02
698,4q81,3.02
699,4xm8,3.02
700,5z4h,3.02
701,6f6n,3.02
702,1ogd,3.03
703,1ws5,3.03
704,2ggu,3.03
705,2ha3,3.03
706,3adv,3.03
707,3esj,3.03
708,4lm2,3.03
709,4qp2,3.03
710,5aoi,3.03
711,1rtf,3.04
712,2pcu,3.04
713,3ay0,3.04
714,3t08,3.04
715,3t1m,3.04
716,3zvv,3.04
717,4i7k,3.04
718,4lm4,3.04
719,5fls,3.04
720,1f74,3.05
721,1gvk,3.05
722,1gzg,3.05
723,1o41,3.05
724,1pum,3.05
725,1uj5,3.05
726,1uj6,3.05
727,2ohl,3.05
728,2vcw,3.05
729,4g5f,3.05
730,4guj,3.05
731,4u5v,3.05
732,5abe,3.05
733,5ort,3.05
734,2jfh,3.06
735,2ksa,3.06
736,3atm,3.06
737,3hw1,3.06
738,3rxi,3.06
739,3rxj,3.06
740,4csy,3.06
741,4nyi,3.06
742,1rnm,3.07
743,1s26,3.07
744,3mof,3.07
745,4yrs,3.07
746,1hiy,3.08
747,1y1z,3.08
748,4yv1,3.08
749,5ehv,3.08
750,6ew6,3.08
751,1mdl,3.09
752,1ugw,3.09
753,4eh5,3.09
754,1a5v,3.1
755,1af2,3.1
756,1ec9,3.1
757,1pu7,3.1
758,1pu8,3.1
759,1swi,3.1
760,2xdl,3.1
761,3buf,3.1
762,3f78,3.1
763,3mo8,3.1
764,4cjr,3.1
765,4j79,3.1
766,4kz6,3.1
767,4pl6,3.1
768,4pxf,3.1
769,4y2j,3.1
770,4y64,3.1
771,5aqq,3.1
772,5cr7,3.1
773,5eh8,3.1
774,5ggo,3.1
775,5lzg,3.1
776,5lzh,3.1
777,5orw,3.1
778,1k2i,3.11
779,1uod,3.11
780,2ay6,3.11
781,2lto,3.11
782,2lwi,3.11
783,3c2r,3.11
784,3msj,3.11
785,4aj1,3.11
786,4ajk,3.11
787,4d52,3.11
788,4gbz,3.11
789,4wf4,3.11
790,5enb,3.11
791,1h9l,3.12
792,2ksb,3.12
793,4bt3,3.12
794,4cgi,3.12
795,4uct,3.12
796,5ey4,3.12
797,1ax0,3.13
798,3kac,3.13
799,5c5t,3.13
800,2f1a,3.14
801,2ya7,3.14
802,3odk,3.14
803,4b34,3.14
804,6cea,3.14
805,1e6q,3.15
806,1eei,3.15
807,1k9q,3.15
808,1noi,3.15
809,1noj,3.15
810,1nok,3.15
811,1rin,3.15
812,2fr8,3.15
813,2p8n,3.15
814,3cgy,3.15
815,3e73,3.15
816,4de5,3.15
817,4fzj,3.15
818,4lw1,3.15
819,4x0z,3.15
820,5e5g,3.15
821,5flo,3.15
822,5fnf,3.15
823,2ymd,3.16
824,3ad8,3.16
825,3ecn,3.16
826,3f34,3.16
827,3f35,3.16
828,3kpu,3.16
829,3lk0,3.16
830,4eh2,3.16
831,4pli,3.16
832,5n1x,3.16
833,4hnc,3.17
834,4uce,3.17
835,4x3i,3.17
836,5fot,3.17
837,5fox,3.17
838,5ose,3.17
839,6cv8,3.17
840,1b9s,3.18
841,1lbk,3.18
842,1ro7,3.18
843,2wik,3.18
844,3at1,3.18
845,3bug,3.18
846,3kid,3.18
847,1o6i,3.19
848,2zdx,3.19
849,3dxh,3.19
850,3g1v,3.19
851,4gzx,3.19
852,4mlx,3.19
853,6f6i,3.19
854,1axz,3.2
855,2nd0,3.2
856,2w0x,3.2
857,2wij,3.2
858,3kab,3.2
859,4nrm,3.2
860,5cs6,3.2
861,5d9p,3.2
862,5flp,3.2
863,5ijr,3.2
864,1s5z,3.21
865,3fty,3.21
866,5mwo,3.21
867,5osd,3.21
868,6tim,3.21
869,1br6,3.22
870,1e6s,3.22
871,1e72,3.22
872,1evh,3.22
873,1ew9,3.22
874,1k1y,3.22
875,1q5l,3.22
876,1qwu,3.22
877,1tog,3.22
878,1x6u,3.22
879,1zc9,3.22
880,2bv4,3.22
881,2ri9,3.22
882,2uy3,3.22
883,3aru,3.22
884,3i8t,3.22
885,4n5d,3.22
886,4tyl,3.22
887,4wn0,3.22
888,5n1y,3.22
889,5ou2,3.22
890,5y79,3.22
891,1px4,3.23
892,2gmk,3.23
893,3zsy,3.23
894,4kc4,3.23
895,4lm1,3.23
896,4unp,3.23
897,5ene,3.23
898,5qay,3.23
899,2r8q,3.24
900,3qfz,3.24
901,4b2l,3.24
902,4k60,3.24
903,4luo,3.24
904,4qlk,3.24
905,4y2u,3.24
906,5o0a,3.24
907,6er3,3.24
908,6g9b,3.24
909,1v2j,3.25
910,2ndo,3.25
911,3ta1,3.25
912,4lm0,3.25
913,4zij,3.25
914,5oxl,3.25
915,1l5s,3.26
916,3t1l,3.26
917,4egh,3.26
918,4k66,3.26
919,4wkt,3.26
920,5yas,3.26
921,1axr,3.27
922,3ioe,3.27
923,4jbl,3.27
924,5jzs,3.27
925,5kdf,3.27
926,1bcu,3.28
927,1g9t,3.28
928,1x07,3.28
929,2xgs,3.28
930,3d52,3.28
931,3ms4,3.28
932,3tfu,3.28
933,3zsx,3.28
934,4eh7,3.28
935,4fl1,3.28
936,4yv0,3.28
937,5moe,3.28
938,5odu,3.28
939,5yf1,3.28
940,5z4o,3.28
941,1ax1,3.29
942,4f20,3.29
943,5duw,3.29
944,1d7j,3.3
945,1k9r,3.3
946,1lt6,3.3
947,1o4e,3.3
948,1phw,3.3
949,1tpw,3.3
950,1zd2,3.3
951,1zd3,3.3
952,2aq7,3.3
953,2aqb,3.3
954,2hd1,3.3
955,2uxx,3.3
956,2vw2,3.3
957,2w0s,3.3
958,2xml,3.3
959,3aaq,3.3
960,3avg,3.3
961,3avh,3.3
962,3avi,3.3
963,3avj,3.3
964,3avk,3.3
965,3avm,3.3
966,3avn,3.3
967,3ch9,3.3
968,3gv6,3.3
969,3h2c,3.3
970,3hcm,3.3
971,3i90,3.3
972,3i91,3.3
973,3l7g,3.3
974,3n1v,3.3
975,3n1w,3.3
976,3n3l,3.3
977,3n45,3.3
978,4b6f,3.3
979,4ddh,3.3
980,4gj8,3.3
981,4gj9,3.3
982,4j58,3.3
983,4jss,3.3
984,4mrw,3.3
985,4msa,3.3
986,4np3,3.3
987,4ojq,3.3
988,4oue,3.3
989,4tz8,3.3
990,4u6e,3.3
991,4ucr,3.3
992,4x13,3.3
993,5ejw,3.3
994,5g45,3.3
995,5ggp,3.3
996,5l96,3.3
997,5mgg,3.3
998,5mgl,3.3
999,5mgm,3.3
1000,5mt0,3.3
1001,5mt4,3.3
1002,5oul,3.3
1003,5v19,3.3
1004,5vdo,3.3
1005,5vdr,3.3
1006,5vds,3.3
1007,6bsx,3.3
1008,1i2s,3.31
1009,1pzp,3.31
1010,3msc,3.31
1011,4kc2,3.31
1012,5c7a,3.31
1013,5fe7,3.31
1014,5l98,3.31
1015,5os1,3.31
1016,1pzo,3.32
1017,2wk6,3.32
1018,4a4e,3.32
1019,4cjp,3.32
1020,4i7j,3.32
1021,5l99,3.32
1022,5tg4,3.32
1023,6dlx,3.32
1024,188l,3.33
1025,1jlr,3.33
1026,2a3b,3.33
1027,2pnc,3.33
1028,4ab9,3.33
1029,4b0b,3.33
1030,4b5t,3.33
1031,4b5w,3.33
1032,4k2y,3.33
1033,4pd9,3.33
1034,6mv3,3.33
1035,2xoi,3.34
1036,3f33,3.34
1037,3ry8,3.34
1038,4b32,3.34
1039,4bt4,3.34
1040,4cp5,3.34
1041,4gwk,3.34
1042,4yuy,3.34
1043,5ehi,3.34
1044,2qcm,3.35
1045,3c2o,3.35
1046,3pwk,3.35
1047,3zxe,3.35
1048,4gnf,3.35
1049,4joh,3.35
1050,4lkq,3.35
1051,4u7o,3.35
1052,4ucu,3.35
1053,4wet,3.35
1054,5wxp,3.35
1055,1ahy,3.36
1056,2ha7,3.36
1057,2pvv,3.36
1058,2vc7,3.36
1059,3av9,3.36
1060,3zzh,3.36
1061,4cj4,3.36
1062,4wyp,3.36
1063,5orz,3.36
1064,6gxw,3.36
1065,187l,3.37
1066,1tnh,3.37
1067,1v2u,3.37
1068,1v2v,3.37
1069,2c6g,3.37
1070,2n8t,3.37
1071,3d8z,3.37
1072,3n35,3.37
1073,4b33,3.37
1074,4mrd,3.37
1075,1z34,3.38
1076,2fzg,3.38
1077,3a73,3.38
1078,3tay,3.38
1079,3w07,3.38
1080,4qll,3.38
1081,5l8o,3.38
1082,1toj,3.39
1083,2j9h,3.39
1084,3mrx,3.39
1085,4ipn,3.39
1086,4lhm,3.39
1087,4ms0,3.39
1088,5jzb,3.39
1089,5lsh,3.39
1090,5mxk,3.39
1091,5os5,3.39
1092,1bxr,3.4
1093,1f8d,3.4
1094,1hxk,3.4
1095,1ikt,3.4
1096,1il9,3.4
1097,1jt1,3.4
1098,1l83,3.4
1099,1m83,3.4
1100,1uz4,3.4
1101,1way,3.4
1102,220l,3.4
1103,223l,3.4
1104,2jbu,3.4
1105,2jqk,3.4
1106,2q8i,3.4
1107,2qcd,3.4
1108,2rnx,3.4
1109,3d8y,3.4
1110,3jzh,3.4
1111,3k26,3.4
1112,4abe,3.4
1113,5afl,3.4
1114,5o4t,3.4
1115,5qaw,3.4
1116,5qaz,3.4
1117,5uah,3.4
1118,6fg6,3.4
1119,2v2c,3.41
1120,3nba,3.41
1121,4yas,3.41
1122,6ce8,3.41
1123,1hyz,3.42
1124,2qtn,3.42
1125,2sim,3.42
1126,2w08,3.42
1127,3iob,3.42
1128,3kqp,3.42
1129,3muk,3.42
1130,3px9,3.42
1131,4c71,3.42
1132,4d8a,3.42
1133,4llj,3.42
1134,4mi9,3.42
1135,4n8q,3.42
1136,5i38,3.42
1137,5yij,3.42
1138,1kti,3.43
1139,1ywi,3.43
1140,2c57,3.43
1141,2wig,3.43
1142,2xog,3.43
1143,3axz,3.43
1144,3ms7,3.43
1145,4k67,3.43
1146,4kw6,3.43
1147,5aqv,3.43
1148,5ehg,3.43
1149,5osl,3.43
1150,2xp5,3.44
1151,3as2,3.44
1152,4b4n,3.44
1153,4umc,3.44
1154,5wi0,3.44
1155,6exs,3.44
1156,3nik,3.45
1157,4c6z,3.45
1158,5ory,3.45
1159,1moq,3.46
1160,1t48,3.46
1161,1wcc,3.46
1162,2wi2,3.46
1163,2wi3,3.46
1164,3blu,3.46
1165,3dla,3.46
1166,3muz,3.46
1167,3nil,3.46
1168,3nuy,3.46
1169,4bhf,3.46
1170,4gby,3.46
1171,4k5p,3.46
1172,4nrq,3.46
1173,4qp6,3.46
1174,4tz2,3.46
1175,5qal,3.46
1176,3mtd,3.47
1177,3nf7,3.47
1178,3ta0,3.47
1179,4d2d,3.47
1180,4epy,3.47
1181,4h42,3.47
1182,5ai4,3.47
1183,5ma7,3.47
1184,1osv,3.48
1185,1tsi,3.48
1186,2c90,3.48
1187,2f10,3.48
1188,2p3i,3.48
1189,3d9m,3.48
1190,3g1d,3.48
1191,3gx0,3.48
1192,3nyd,3.48
1193,4k7n,3.48
1194,5eh7,3.48
1195,5fni,3.48
1196,5qaj,3.48
1197,5xg5,3.48
1198,5z9e,3.48
1199,1c5o,3.49
1200,1gzc,3.49
1201,1pzj,3.49
1202,1utn,3.49
1203,2ggx,3.49
1204,2qcf,3.49
1205,3d1v,3.49
1206,4avs,3.49
1207,4b5s,3.49
1208,4nyj,3.49
1209,5ak6,3.49
1210,5eok,3.49
1211,5fnd,3.49
1212,5i25,3.49
1213,5ybi,3.49
1214,6b0v,3.49
1215,6d9x,3.49
1216,3fcl,3.5
1217,4i7p,3.5
1218,4n3w,3.5
1219,4wey,3.5
1220,6gbe,3.5
1221,1gz9,3.51
1222,2ohm,3.51
1223,2r0h,3.51
1224,3nus,3.51
1225,4lpf,3.51
1226,5aqt,3.51
1227,5cp9,3.51
1228,5dtt,3.51
1229,5h1u,3.51
1230,5m4q,3.51
1231,5mby,3.51
1232,5orx,3.51
1233,5qaf,3.51
1234,1imx,3.52
1235,1jys,3.52
1236,1o4d,3.52
1237,1o4f,3.52
1238,1ysg,3.52
1239,2fyv,3.52
1240,2j27,3.52
1241,2vw1,3.52
1242,3c14,3.52
1243,3lcu,3.52
1244,3mfw,3.52
1245,3qw6,3.52
1246,3tf7,3.52
1247,3zlv,3.52
1248,3zly,3.52
1249,4c70,3.52
1250,4eky,3.52
1251,4g93,3.52
1252,4hv7,3.52
1253,4mrz,3.52
1254,4oyo,3.52
1255,4y5i,3.52
1256,5mod,3.52
1257,5qa5,3.52
1258,5vfn,3.52
1259,6eji,3.52
1260,2b4m,3.53
1261,2y67,3.53
1262,3avf,3.53
1263,3h06,3.53
1264,3nf6,3.53
1265,4eh3,3.53
1266,4nmr,3.53
1267,4orx,3.53
1268,4ory,3.53
1269,185l,3.54
1270,1vjd,3.54
1271,2jbv,3.54
1272,2o9v,3.54
1273,3blt,3.54
1274,3bm8,3.54
1275,3nf9,3.54
1276,3obq,3.54
1277,4gng,3.54
1278,5ggk,3.54
1279,5qaq,3.54
1280,5v2l,3.54
1281,6f5u,3.54
1282,1v2r,3.55
