Search results from PDBbind-CN Database,,,,,,,,,,,,,,
ID,PDB code,Subset,Complex Type,Resolution,Affinity Data,pKd pKi pIC50,Release Year,Protein Name,Ligand Name,Pubmed ID,Pubchem SID,EC number,Reference,UniProt AC
58,1o2y,general,Protein-Ligand,1.45,Ki=1.4uM,5.85,2003,trypsin beta,847,12742021,46392693,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
59,1o2z,refined,Protein-Ligand,1.65,Ki=0.78uM,6.11,2003,trypsin beta,312,12742021,46392694,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
60,1o30,refined,Protein-Ligand,1.55,Ki=0.17uM,6.77,2003,trypsin beta,693,12742021,46392695,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
61,1o32,general,Protein-Ligand,1.78,Ki=1.8uM,5.74,2003,trypsin beta,801,12742021,46392696,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
62,1o33,refined,Protein-Ligand,1.46,Ki=1.8uM,5.74,2003,trypsin beta,801,12742021,46392697,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
63,1o34,general,Protein-Ligand,1.5,Ki=1.8uM,5.74,2003,trypsin beta,801,12742021,46392698,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
64,1o35,refined,Protein-Ligand,1.41,Ki=10uM,5,2003,trypsin beta,802,12742021,46392699,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
65,1o36,refined,Protein-Ligand,1.7,Ki=1.1uM,5.96,2003,trypsin beta,607,12742021,46392700,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
66,1o37,general,Protein-Ligand,1.45,Ki=0.15uM,6.82,2003,trypsin beta,653,12742021,46392701,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
67,1o38,refined,Protein-Ligand,1.38,Ki=0.15uM,6.82,2003,trypsin beta,653,12742021,46392702,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
68,1o39,general,Protein-Ligand,1.59,Ki=0.074uM,7.13,2003,trypsin beta,780,12742021,46392703,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
69,1o3b,general,Protein-Ligand,1.75,Ki=0.074uM,7.13,2003,trypsin beta,780,12742021,46392704,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
70,1o3c,general,Protein-Ligand,1.64,Ki=0.074uM,7.13,2003,trypsin beta,780,12742021,46392705,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
71,1o3d,refined,Protein-Ligand,1.33,Ki=0.074uM,7.13,2003,trypsin beta,780,12742021,46392706,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
72,1o3e,general,Protein-Ligand,1.64,Ki=0.011uM,7.96,2003,trypsin beta,696,12742021,46392707,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
73,1o3f,refined,Protein-Ligand,1.55,Ki=0.011uM,7.96,2003,trypsin beta,696,12742021,46392708,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
74,1o3g,general,Protein-Ligand,1.55,Ki=0.011uM,7.96,2003,trypsin beta,696,12742021,46392709,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
75,1o3h,general,Protein-Ligand,1.53,Ki=0.05uM,7.3,2003,trypsin beta,907,12742021,46392710,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
76,1o3i,refined,Protein-Ligand,1.51,Ki=0.05uM,7.3,2003,trypsin beta,907,12742021,46392711,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
77,1o3j,refined,Protein-Ligand,1.4,Ki=0.17uM,6.77,2003,trypsin beta,334,12742021,46392712,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
78,1o3k,general,Protein-Ligand,1.43,Ki=0.17uM,6.77,2003,trypsin beta,334,12742021,46392713,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
79,1o3l,refined,Protein-Ligand,1.4,Ki=0.29uM,6.54,2003,trypsin beta,678,12742021,46392714,E.C.3.4.21.4,"J.Mol.Biol. v329 pp. 93-120, 2003",P00760
80,1oss,refined,Protein-Ligand,1.93,Ki=16.4uM,4.79,2003,trypsin,BEN,12885239,46392813,E.C.3.4.21.4,"Biochemistry v42 pp. 9060-6, 2003",P00775
81,1oxg,general,Protein-Ligand,2.2,Ki=0.027nM,10.57,2004,Chymotrypsinogen A,14-mer,15654893,0,E.C.3.4.21.1,(2005) Febs J. Vol. 272: pp. 562-572 ,P00766
82,1oyq,refined,Protein-Ligand,1.9,Ki=110nM,6.96,2003,trypsin beta,T87,11342132,46392831,E.C.3.4.21.4,"Structure v9 pp. 29-37, 2001",P00760
83,1ppc,refined,Protein-Ligand,1.8,Ki=0.69uM,6.16,1994,trypsin beta,MID,2226434,46392890,E.C.3.4.21.4,"Eur.J.Biochem. v193 pp. 175-82, 1990",P00760
84,1pph,refined,Protein-Ligand,1.9,Ki=1.2uM,5.92,1994,trypsin beta,0ZG,1879520,46392891,E.C.3.4.21.4,"FEBS Lett. v287 pp. 133-8, 1991",P00760
85,1qb1,refined,Protein-Ligand,1.8,Ki=170nM,6.77,2000,trypsin beta,974,10417407,46392976,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1395-404, 1999",P00760
86,1qb6,refined,Protein-Ligand,1.8,Ki=870nM,6.06,2000,trypsin beta,623,10417407,46392977,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1395-404, 1999",P00760
87,1qb9,refined,Protein-Ligand,1.8,Ki=36nM,7.44,2000,trypsin beta,806,10417407,46392978,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1395-404, 1999",P00760
88,1qbn,refined,Protein-Ligand,1.8,Ki=1400nM,5.85,2000,trypsin beta,688,10417407,46392979,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1395-404, 1999",P00760
89,1qbo,refined,Protein-Ligand,1.8,Ki=18nM,7.74,2000,trypsin beta,711,10417407,46392980,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1395-404, 1999",P00760
90,1qcp,general,Protein-Ligand,1.8,Ki=30nM,7.52,1999,trypsin beta,RWJ,10531473,46392988,E.C.3.4.21.4,"Acta Crystallogr., Sect.D v55 pp. 1785-91, 1999",P00760
91,1ql7,refined,Protein-Ligand,2.1,Kd=10uM,5,2000,trypsin,ZEN,,46393011,E.C.3.4.21.4,Chembiochemv3;pp.246,P00760
92,1ql9,refined,Protein-Ligand,2.3,Ki=4.45uM,5.35,2000,trypsin,ZEN,,46393012,E.C.3.4.21.4,J.Mol.Biol.v325;pp.963,P00763
93,1rxp,general,Protein-Ligand,1.7,IC50=72nM,7.14,2004,trypsin,169,15081015,46393117,E.C.3.4.21.4,"Bioorg.Med.Chem.Lett. v14 pp. 2233-9, 2004",P00760
94,1sfi,general,Protein-Ligand,1.65,Ki=0.1nM,10,1999,bovine β-trypsin,14-mer,10390350,0,E.C.3.4.21.4,(1999) J.Mol.Biol. Vol. 290: pp. 525-533 ,Q4GWU5 P00760
95,1tng,refined,Protein-Ligand,1.8,Ki=1.17mM,2.93,1994,trypsin beta,AMC,7634078,46393243,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
96,1tnh,refined,Protein-Ligand,1.8,Ki=0.43mM,3.37,1994,trypsin beta,FBA,7634078,46393244,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
97,1tni,refined,Protein-Ligand,1.9,Ki=0.10mM,4,1994,trypsin beta,PBN,7634078,46393245,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
98,1tnj,general,Protein-Ligand,1.8,Ki=11.0mM,1.96,1994,trypsin beta,PEA,7634078,46393246,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
99,1tnk,general,Protein-Ligand,1.8,Ki=32.5mM,1.49,1994,trypsin beta,PRA,7634078,46393247,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
100,1tnl,general,Protein-Ligand,1.9,Ki=13.3mM,1.88,1994,trypsin beta,TPA,7634078,46393248,E.C.3.4.21.4,"Nat.Struct.Biol. v1 pp. 735-43, 1994",P00760
101,1tps,general,Protein-Ligand,1.9,IC50=10nM,8,1995,trypsin,8-mer,9383379,46393256,E.C.3.4.21.4,"Chem.Biol. v1 pp. 113-7, 1994",P00760
102,1tx7,refined,Protein-Ligand,1.75,Ki=25uM,4.6,2005,trypsinogen,4CM,11738605,46393276,E.C.3.4.21.4,"Bioorg.Med.Chem. v10 pp. 41-6, 2002",P00760
103,1tyn,general,Protein-Ligand,2,Ki=0.2nM,9.7,1995,trypsin beta,CTA,,46393278,E.C.3.4.21.4,J.Am.Chem.Soc.v115;pp.12619,P00760
104,1utj,refined,Protein-Ligand,1.83,Kd=0.144mM,3.84,2004,trypsin i,ABN,,46393333,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P35031
105,1utl,refined,Protein-Ligand,1.7,Kd=3.41mM,2.47,2004,trypsin i,PRA,,46393334,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P35031
106,1utm,refined,Protein-Ligand,1.5,Kd=0.972mM,3.01,2004,trypsin i,PEA,,46393335,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P35031
107,1utn,refined,Protein-Ligand,1.15,Kd=0.321mM,3.49,2004,trypsinogen,ABN,,46393336,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P00760
108,1uto,refined,Protein-Ligand,1.15,Kd=5.32mM,2.27,2004,trypsinogen,PEA,,46393337,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P00760
109,1utp,general,Protein-Ligand,1.3,Kd=36mM,1.44,2004,trypsinogen,PBN,,46393338,E.C.3.4.21.4,Protein Sci.v13;pp.1056,P00760
110,1v2j,refined,Protein-Ligand,1.9,Ki=566uM,3.25,2004,trypsin beta,BEN,14729347,46393387,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
111,1v2k,refined,Protein-Ligand,2,Ki=0.65uM,6.19,2004,trypsin beta,ZEN,14729347,46393388,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
112,1v2l,refined,Protein-Ligand,1.6,Ki=51uM,4.29,2004,trypsin beta,BEN,14729347,46393389,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
113,1v2m,general,Protein-Ligand,1.65,Ki=51uM,4.29,2004,trypsin,BEN,14729347,46393390,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
114,1v2n,refined,Protein-Ligand,1.8,Ki=1.25uM,5.9,2004,trypsin beta,BBA,14729347,46393391,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
115,1v2o,refined,Protein-Ligand,1.62,Ki=18.45uM,4.73,2004,trypsin beta,ANH,14729347,46393392,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
116,1v2p,general,Protein-Ligand,1.92,Ki=18.45uM,4.73,2004,trypsin,ANH,14729347,46393393,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
117,1v2q,general,Protein-Ligand,2.3,Ki=73.62uM,4.13,2004,trypsin beta,ANH,14729347,46393394,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
118,1v2r,refined,Protein-Ligand,1.7,Ki=278.96uM,3.55,2004,trypsin beta,ANH,14729347,46393395,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
119,1v2s,refined,Protein-Ligand,1.72,Ki=68uM,4.17,2004,trypsin beta,BEN,14729347,46393396,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
120,1v2t,refined,Protein-Ligand,1.9,Ki=19.56uM,4.71,2004,trypsin beta,ANH,14729347,46393397,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
121,1v2u,refined,Protein-Ligand,1.8,Ki=427uM,3.37,2004,trypsin beta,BEN,14729347,46393398,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
122,1v2v,general,Protein-Ligand,1.8,Ki=427uM,3.37,2004,trypsin,BEN,14729347,46393399,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
123,1v2w,refined,Protein-Ligand,1.75,Ki=97.79uM,4.01,2004,trypsin beta,ANH,14729347,46393400,E.C.3.4.21.4,"J.Mol.Biol. v335 pp. 1325-41, 2004",P00760
124,1vgc,general,Protein-Ligand,1.9,Ki=1.20uM,5.92,1997,chymotrypsin gamma,V36,9425066,46393411,E.C.3.4.21.1,"Biochemistry v37 pp. 451-62, 1998",P00766
125,1xug,refined,Protein-Ligand,1.5,Ki=0.09uM,7.05,1998,trypsin,BAB,9468142,46393598,E.C.3.4.21.4,"Nature v391 pp. 608-12, 1998",P00760
126,1y3v,refined,Protein-Ligand,1.6,Ki=2300nM,5.64,2005,"trypsin, cationic",UIR,16374786,46393623,E.C.3.4.21.4,"Angew.Chem.Int.Ed.Engl. v45 pp. 985-9, 2006",P00760
127,1y3w,general,Protein-Ligand,1.8,Ki=1680nM,5.77,2005,"trypsinogen, cationic",UIP,16374786,46393624,E.C.3.4.21.4,"Angew.Chem.Int.Ed.Engl. v45 pp. 985-9, 2006",P00760
128,1y3x,refined,Protein-Ligand,1.7,Ki=7315nM,5.14,2005,"trypsinogen, cationic",UIB,16374786,46393625,E.C.3.4.21.4,"Angew.Chem.Int.Ed.Engl. v45 pp. 985-9, 2006",P00760
129,1y3y,general,Protein-Ligand,1.75,Ki=2300nM,5.64,2005,"trypsin, cationic",UIR,16374786,46393626,E.C.3.4.21.4,"Angew.Chem.Int.Ed.Engl. v45 pp. 985-9, 2006",P00760
130,1yp9,refined,Protein-Ligand,2.1,Ki=7700nM,5.11,2006,"trypsin, cationic",UIZ,16374786,46393669,E.C.3.4.21.4,"Angew.Chem.Int.Ed.Engl. v45 pp. 985-9, 2006",P00760
131,1yyy,general,Protein-Ligand,2.1,Ki=8100nM,5.09,1999,trypsin,0KV,9724521,46393691,E.C.3.4.21.4,"Biochemistry v37 pp. 12094-103, 1998",P00760
132,1zzz,general,Protein-Ligand,1.9,Ki=7300nM,5.14,1999,trypsin,0IV,9724521,46393761,E.C.3.4.21.4,"Biochemistry v37 pp. 12094-103, 1998",P00760
133,2bza,refined,Protein-Ligand,1.9,Ki=1.58mM,2.8,1999,trypsin beta,ABN,10651279,46393946,E.C.3.4.21.4,"Proteins v37 pp. 641-53, 1999",P00760
134,2fx6,refined,Protein-Ligand,1.57,Ki=200uM,3.7,2006,trypsin,270,16681368,46394153,E.C.3.4.21.4,"Biochemistry v45 pp. 5964-73, 2006",P00760
135,2j9n,general,Protein-Ligand,1.5,Kd=20uM,4.7,2007,CATIONIC TRYPSIN(residue 21-243),BEN,,53812740,E.C.3.4.21.4,"J. Appl. Cryst. 2007, 40, 539-545.",P00760
136,2p8o,general,Protein-Ligand,1.5,Ki=14uM,4.85,2007,Chymotrypsin A,BVA,17469803,53812923,E.C.3.4.21.1,Biochemistry  46: 5982-5990,P00766
137,2tpi,refined,Protein-Ligand,2.1,Kd=49uM,4.31,1982,trypsinogen,2-mer,,46394337,E.C.3.4.21.4,"Acta Crystallogr.,Sect.Bv38;pp.1462",P00974 P00760
138,2vgc,general,Protein-Ligand,1.8,Ki=5.76uM,5.24,1997,chymotrypsin gamma,V35,9425066,46394341,E.C.3.4.21.1,"Biochemistry v37 pp. 451-62, 1998",P00766
139,2zdk,refined,Protein-Ligand,1.67,Kd=428nM,6.37,2008,Cationic trypsin,50U,21111747,0,E.C.3.4.21.4,(2011) J. Mol. Biol. Vol. 405: pp. 1170-1187,P00760
